Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	61735	1709023	260	-0.0757
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	1709167	1714558	6	-0.6865
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	1717775	12289181	5954	-0.0251
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	12297021	12651290	161	-1.3927
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	12651473	12671703	12	-3.7784
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	12672149	12710882	22	-1.3705
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	12713415	13187370	137	0.0808
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	13214448	13384168	10	1.4614
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	13384254	16931526	2152	-0.0131
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	16935956	16970456	27	-0.6273
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	17005734	17182437	61	0.1333
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	17190004	17262232	62	0.7159
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	17262247	25418699	5144	0.0285
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	25423401	25424322	2	2.016
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	25424889	25583341	118	0.0464
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	25593128	25663344	33	1.0909
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	25673154	35102654	4960	-0.0016
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	35102670	35104491	19	0.8376
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	35114268	37406307	1159	0.0076
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	37406612	37406801	2	-1.988
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	37408081	62114181	15316	0.0201
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	62114951	62118187	2	-1.8613
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	62119809	77324764	10375	0.0141
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	77324865	77325101	2	-2.0462
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	77325400	104103230	17099	0.0105
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	104109238	104178038	30	0.8469
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	104221531	104225568	11	-0.23
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	104239689	104303403	14	1.263
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	104303501	106012754	917	0.0013
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	106013376	106024055	19	0.9814
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	106024070	112690326	4641	0.0149
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	112695965	112697241	23	-0.759
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	112697376	152555527	8037	0.0471
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	152555706	152586238	30	2.3235
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	152586278	152586594	4	0.9879
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	152590494	152759678	171	0.026
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B07_569134	1	152761923	152768700	37	0.8516
