Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	61735	85936	12	-0.1888
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	85998	86341	3	-1.3964
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	98588	25583341	14154	0.0929
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	25593128	25662005	30	0.751
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	25662212	51566271	14110	0.0973
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	51569163	72768916	14743	-0.3973
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	72768936	72811133	44	-1.1517
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	72811148	74323064	915	-0.3951
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	74323287	76210524	1124	-1.1933
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	76210729	82280518	4076	-0.3987
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	82284706	106012754	14911	0.1008
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	106013376	106022375	18	0.907
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	106024055	108729284	1943	0.1016
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	108729759	108737496	4	-1.1776
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	108739104	110225920	714	0.0983
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	110225965	110240178	28	-0.3103
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	110242953	112690326	1956	0.1072
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	112695965	112697241	23	-1.6485
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	112697376	112706205	13	-0.307
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	112706213	120527361	5047	0.094
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	120527395	120592874	13	-0.3779
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	120607154	199578666	34594	0.0927
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	199582237	221578009	15071	-0.425
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	221578474	221580058	2	-2.485
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	221580405	223301166	1097	-0.4488
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	223305227	227425301	2598	0.0936
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	227426072	227426406	3	-1.4389
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	227429178	229811169	1378	0.0908
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	229816856	229820196	3	-1.1824
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	229820456	235273194	4245	0.0963
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	235273943	236203280	484	-0.4243
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	236205121	240391740	3399	0.0795
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	240394015	240394139	6	-1.2693
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	240396105	242757767	1849	0.0882
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	242757972	242758533	2	-1.8003
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	1	242761117	249224388	4085	0.0953
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	12784	34711390	24143	0.441
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	34711474	34737556	32	0.7966
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	34738032	35967123	873	0.4272
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	35967385	35977941	5	1.2648
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	35984629	36335595	278	0.4526
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	36335596	36335606	7	-0.1854
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	36336619	42445808	4702	0.4482
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	42447357	42452613	6	-0.26
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	42454185	52265663	6862	0.434
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	52266907	52273900	2	-0.7387
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	52274829	52743925	315	0.4476
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	52754468	52781295	32	0.8046
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	52781326	55627639	2178	0.4543
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	55627771	55627913	2	2.0486
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	55632245	76629299	13233	0.4274
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	76630436	86937687	6545	0.0796
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	86953070	86953854	2	-1.5335
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	86970406	87120902	61	0.0264
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	87123751	87309263	17	0.4504
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	87309834	89604933	859	0.0577
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	89614410	91787788	199	-0.3766
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	91788512	110848030	8742	0.07
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	110854735	111169128	81	0.728
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	111388632	129638078	11244	0.0733
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	129638478	129640315	15	-1.0817
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	129640329	146864429	10491	0.0693
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	146864443	146878395	24	0.8017
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	146878410	180989224	20974	0.0757
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	180989284	181349557	247	-0.2999
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	181349830	208354955	15786	0.0819
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	208355178	208359336	16	-0.8326
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	2	208359476	243089456	22158	0.0729
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	60345	6646543	5847	0.1171
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	6651128	6653332	23	-1.03
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	6655078	48469346	28095	0.0943
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	48472086	53031750	1838	-0.4136
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	53031763	53045800	48	-0.139
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	53045816	53946834	591	-0.4188
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	53948098	60178922	4543	0.0998
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	60179459	60219584	40	-0.4015
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	60224011	68746164	6851	0.0956
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	68746259	68747413	14	1.2055
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	68748758	77475131	6023	0.0858
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	77479116	77487274	6	-0.9712
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	77493821	80283655	1592	0.0791
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	80285120	80285793	2	-1.0775
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C11_787508	3	80286653	84689134	2318	0.0838
