Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	61735	824136	70	-0.2851
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	836713	16886135	8630	-0.0301
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	16886193	17016880	60	-0.4207
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	17017078	17790022	481	-0.0161
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	17790244	17940434	78	0.3036
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	17946183	56244947	21773	-0.0536
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	56245389	56260814	6	-0.4816
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	56263399	72749848	11847	-0.1148
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	72750353	72763370	10	-0.8026
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	72768418	72811148	48	0.229
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	72811904	89475255	10955	-0.1327
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	89477958	89478205	2	-2.5939
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	89481524	102816541	8441	-0.1209
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	102818617	102818686	2	-3.4347
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	102818702	106019205	1593	-0.1382
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	106019236	106024090	19	-0.5735
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	106024137	110227515	2663	-0.1001
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C07_777000	1	110232974	110234628	11	0.9846
