Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	61735	2974212	659	-0.0114
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	2981841	3176460	80	-0.3989
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	3177480	8857104	3664	-0.0238
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	8860214	9027914	121	0.3587
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	9036014	16149915	3872	-0.0126
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	16153497	16153925	6	-1.9162
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	16154201	17190862	409	0.0449
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	17195155	17286210	67	-0.3171
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	17286319	22501716	3443	0.0063
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	22503776	22504272	2	-1.8061
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	22507423	31155821	4588	-0.0034
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	31162143	31229883	52	-0.3432
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	31231126	65881457	21406	0.0036
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	65885357	65897951	9	-0.7056
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	65898001	72768916	4568	0.0161
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	72768936	72812440	47	-1.1155
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	72816755	91095289	11989	0.0105
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	91096275	91102694	8	0.7626
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	91102904	108719572	10959	0.009
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	108721006	108739171	10	0.6195
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	108740613	109483850	359	0.0141
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	109486269	109497933	13	0.655
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	109498025	110227515	348	0.017
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	110232974	110234628	11	1.1053
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	110235032	120118018	6704	0.0059
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	120118248	120123136	10	0.8969
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	120123326	152762394	3491	0.0354
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	152762438	152763069	12	1.2751
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	152767467	170382578	12206	0.009
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	170382737	170382747	2	1.6561
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	170383224	172448717	1342	0.0129
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	172449599	172450082	2	-1.2904
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	172450390	174796266	1297	0.0013
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_D11_831336	1	174796405	174801854	18	-0.6745
