Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	61735	32893553	17782	-0.037
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	32894381	32914644	7	-0.6969
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	32917583	56637166	13637	0.0151
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	56638782	56643355	3	-0.9274
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	56643949	60008515	2757	-0.0288
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	60008705	60027504	13	-0.5424
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	60031693	72750353	8833	-0.0199
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	72756113	72763370	9	-0.65
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	72768418	72816755	51	0.1648
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	72817021	81888602	5788	-0.0637
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	81888605	81888681	3	-1.2276
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	81888694	91099213	6219	-0.0459
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	91099720	91099776	2	-0.9511
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	91099903	104159384	8075	-0.0392
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	104163499	104260032	24	0.4399
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	104260239	110232974	3613	-0.0445
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	110233037	110240178	16	1.1425
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	110242953	111411709	906	-0.014
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	111411754	111412279	4	-0.6333
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	111414892	112287543	666	-0.0116
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	112289118	112313078	17	-0.7389
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	112314565	112528476	200	-0.0313
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	112530733	112696087	164	-0.644
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	112696193	112697376	22	-0.1397
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	112697390	120687115	5080	-0.6539
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	120689060	148585337	1254	-0.0549
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	148627569	148627842	3	-1.1619
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	148636769	152761923	1906	-0.0104
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	152761939	152768700	36	-0.3448
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	152773905	161479438	5272	-0.0197
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	161496900	161618691	31	-0.6012
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	161618820	161622169	11	0.0547
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	161629301	161648237	13	-0.6829
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	161648621	163208383	1323	1e-04
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	163212723	163216918	2	-1.2532
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	163217668	164096603	592	-0.0288
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	164099170	164184997	74	-0.6591
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	164194143	184760816	14383	-0.0263
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	184761437	184765000	6	-0.8113
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	184765072	189648157	3105	-0.0818
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	189648483	189648527	2	-2.0286
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	189652047	194447569	3290	-0.0914
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	194448234	194457016	4	0.8209
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	194460542	199111426	2932	-0.0783
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	199111521	199112524	5	0.6426
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	199113011	207697830	5500	-0.0139
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	207712848	207731374	3	-1.162
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	1	207734866	249224388	29069	-0.0422
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	12784	34701394	24113	-0.0318
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	34701583	34737057	44	-0.5983
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	34737556	38954495	3201	-0.0105
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	38955866	38972281	8	0.7022
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	38972826	50765875	8452	-0.0148
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	50766007	50766783	2	-1.6898
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	50766988	57239067	4670	-0.0358
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	57242902	57243395	2	-1.3944
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	57247331	75375179	11246	-0.0273
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	75381677	75381796	5	-1.0619
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	75381837	80555690	3728	-0.0379
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C08_787448	2	80558293	80559160	3	0.9162
