Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	61735	72776	8	-0.0613
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	82170	228706	10	0.6945
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	228729	718663	19	-0.2329
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	723317	2269948	393	-0.8175
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	2272064	2280423	3	-5.1221
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	2281726	16807224	8161	-0.8041
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	16808694	17005978	60	-0.4212
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	17011450	17012422	10	0.5744
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	17012456	17262232	110	-0.3203
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	17262247	34383662	9631	-0.7842
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	34384470	37903112	2060	0.0413
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	37920683	37923399	3	-1.5782
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	37928447	55243319	9649	0.0471
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	55243590	55274652	21	-0.4495
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	55274810	61383945	4736	0.0798
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	61384097	61384522	3	-1.15
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	61386277	72763370	7941	0.0796
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	72768418	72768916	3	-0.371
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	72768936	72811133	44	-1.1518
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	72811148	90544417	11629	0.0861
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	90550699	90556980	6	-0.7459
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	90559217	104163787	8452	0.0837
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	104178038	104260032	22	1.1414
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	104260239	106012754	920	0.0704
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	106013376	106022375	18	0.7899
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	106024055	108766355	1962	0.0972
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	108769302	108817179	2	-2.577
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	108828957	110219008	685	0.0824
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	110220086	110226970	15	0.533
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	110227317	110232974	5	-0.0948
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	110233037	110244998	18	1.1444
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	110246126	111366102	828	0.0445
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	111370372	111392067	50	0.3885
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	111393297	149242663	7589	0.0742
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	149242725	149248712	16	0.8431
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	149248727	149739073	68	0.2733
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	149748542	150280590	238	0.0297
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	150286434	150637494	137	0.5659
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	150637711	152555706	1089	0.0621
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	152555767	152586576	33	-1.7619
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	152586594	187715854	23775	0.0625
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	187717560	187721369	2	-2.185
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	187724610	189648157	1234	0.0855
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	189648483	189648527	2	-1.1561
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	189652047	194448234	3288	0.0844
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	194451411	194455018	2	-1.7632
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	194457016	196696737	1429	0.0859
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	196698242	196802002	112	0.4175
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	196802072	212227287	10238	0.0655
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	212227622	212526288	180	-0.6689
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	212533903	234838501	15419	0.0649
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	234838565	234838606	2	0.8216
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	234842932	235273943	275	1.9947
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	235280575	235567787	114	0.8863
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	235568577	236894049	910	0.5454
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	236897376	236900401	8	1.2152
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	236900537	243053057	4938	0.5538
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	243054702	243268406	93	0.2525
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	243268959	248709616	3574	0.5664
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	248709670	248797213	39	-0.0257
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	1	248805339	249224388	145	0.4815
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	12784	4205687	2990	0.0027
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	4213864	4216410	3	-0.9649
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	4216420	4222008	26	-0.2711
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	4222159	4223167	7	-0.9742
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	4223512	4949619	635	0.0886
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	4950617	4952078	5	-0.7297
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	4952545	34520473	20339	0.0586
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	34523978	34525580	2	-2.2139
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	34525967	34701583	98	0.1143
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	34701625	34737057	43	-0.2846
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	34737163	35975973	876	0.1109
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	35977790	35986716	4	-1.5136
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	35986908	52754468	12161	0.0883
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	52754480	52781542	39	0.5702
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	52787949	79160874	17054	0.068
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	79162786	79162801	2	-1.8576
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	79166025	87120495	4943	0.054
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	87120902	87455717	79	0.6111
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	87456862	97765110	1927	0.0499
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	97765561	97805671	14	0.6195
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	97806832	97857927	23	0.2264
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	97865337	97877173	15	-0.3262
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	97886334	98118212	24	0.1092
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	98140747	98177312	15	0.8704
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	98179204	114362015	9420	0.0573
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	114362414	114380821	3	-1.5613
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	114383552	133079372	11244	0.0622
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	133080864	133117260	16	0.5948
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	133121946	146801177	8808	0.0566
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	146801287	146801367	2	-1.4689
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	146803274	146862085	33	0.0148
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	146864404	146866934	24	-1.6261
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	146877806	153787191	4203	0.0724
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	153787485	153800569	5	-1.178
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	153800774	180413371	16305	0.0939
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	180418211	180421497	22	-0.7073
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	180421512	181921723	1044	0.0598
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	181923885	181926590	5	0.9255
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	181928461	207569803	14879	0.112
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	207570122	207574567	2	-1.7372
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	207574944	208350191	521	0.0886
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	208350247	208350262	2	-2.1185
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	208350319	233227499	15893	0.0766
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	233227556	233235331	7	-0.8014
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H07_730466	2	233235369	233302941	68	-0.0875
