Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	61735	228706	18	-0.7223
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	228729	2167149	393	-0.1386
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	2173638	2176317	2	1.2219
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	2179285	17076467	8398	-0.0648
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	17082412	17225225	35	-0.4464
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	17225367	17235698	5	0.2566
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	17235852	17283075	48	-0.528
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	17284920	35091674	10266	-0.0591
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	35102654	35103033	5	-1.4379
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	35103036	35103827	6	-0.3555
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	35103864	35104491	9	-1.2888
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	35114268	72750353	23866	-0.0702
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	72756113	72763370	9	-1.5878
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	72768418	72811148	48	0.3696
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	72811904	79319800	4087	-0.1909
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	79320311	79555327	137	-1.4565
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	79555605	104221647	15875	-0.0955
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	104221812	104260032	18	-0.5452
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	104260239	106019205	924	-0.1215
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	106019236	106021853	12	-0.8581
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	106022090	110227515	2676	-0.0817
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	110232974	110240178	17	-0.9265
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	110242953	112695965	1959	-0.0804
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	112696087	112697390	24	-1.5341
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	112705956	152555176	8039	-0.0835
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	152555527	152586594	36	1.2061
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	152590494	164821782	8042	-0.0745
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	164823199	164825007	2	-1.5779
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	164826754	179161702	10002	-0.0778
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	179161751	179170217	10	0.5825
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	179172956	196714873	11722	-0.1077
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	196727850	196909645	162	-0.7872
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	196913797	217709890	14157	-0.0895
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	217710533	217710560	2	-1.6725
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	217719563	227426072	6290	-0.0946
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	227426205	227426406	2	-2.6328
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	227429178	229811169	1380	-0.0914
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	229816856	229820456	4	-1.0639
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	229820485	232707216	2217	-0.0857
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	232708196	232708400	2	-1.6285
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	1	232709329	249224388	11846	-0.1042
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	12784	98154265	61371	0.1806
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	98157272	98162189	4	-1.4011
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	98166878	106874497	5580	0.1846
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	106874649	106887870	17	-0.2335
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	106887928	117588586	5792	0.1752
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	117589767	117589853	2	-1.3203
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	117591245	129629941	7663	0.1628
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	129637021	129640297	17	-0.4167
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	129640315	133038729	1609	0.1406
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	133046772	133117260	29	0.6844
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	133121946	154889809	13769	0.1536
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	154895975	154896482	2	-2.1413
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	154900223	159958620	2909	0.1624
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	159960343	159960973	2	1.3111
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	159963287	164636852	2802	0.1746
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	164643488	164645126	5	-1.0064
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	164646642	184794400	12709	0.1804
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	184794514	184802441	16	-0.6657
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	184808589	208355338	13688	0.1767
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	208355696	208359560	16	0.6918
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	2	208359796	243089456	22153	0.1716
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	60345	6317359	5583	-0.5596
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	6319263	6339013	23	-0.1198
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	6339935	6651128	241	-0.537
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	6651211	6653332	22	-1.1542
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	6655078	12086597	4205	-0.544
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	12090734	12631014	342	-1.2701
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	12631094	24973255	8260	-0.552
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	24977639	36448067	8022	-0.0768
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	36451990	36452364	2	-1.8781
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	36453239	38397097	1239	-0.0723
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	38401677	38634213	166	0.3018
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	38637114	38983756	260	-0.043
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	38987541	46818240	4904	0.2749
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	46831837	46831976	3	1.2242
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	46832011	47130444	146	0.2805
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	47133692	68724692	14444	-0.0712
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	68725751	68747413	17	0.5696
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	68748758	98944476	15961	-0.1072
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	98944511	98949308	34	0.2825
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	98949314	122780319	14556	-0.0974
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	122780413	125436237	1719	0.2707
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	125443608	125458762	10	0.7491
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	125462329	137033060	7038	0.2559
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	137033260	137033263	3	-0.6836
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	137033422	162512739	15791	0.2376
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	162513092	162581373	39	0.6674
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	162581468	183407665	12689	0.2313
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	183414027	183919950	244	-0.133
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	3	183920141	197896118	9029	0.2463
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	12281	8226488	4897	-0.1103
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	8227639	8227825	3	-1.6882
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	8228434	10210294	901	-0.1086
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	10210390	10234266	31	0.7831
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	10234608	10390715	176	-0.0748
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	10392354	10400668	16	-0.9432
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	10402718	24598488	10325	-0.1031
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	24601559	24601563	2	-1.5255
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	24605273	34779004	6482	-0.1544
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	34779025	34824183	40	-0.7048
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	34824725	44976135	6621	-0.1189
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	44976295	44979599	2	-1.94
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	44979887	55501728	4228	-0.1055
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	55501921	55505360	2	-1.297
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	55505933	69374941	8661	-0.124
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	69374955	69528959	69	0.3415
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	69536788	70123510	323	-0.069
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	70127644	70232022	55	-0.8152
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	70232124	116166104	28011	-0.0946
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	116172611	116173269	10	-0.8476
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	116175254	118206052	1210	-0.138
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	118214970	118215079	2	-1.8065
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	118227898	139611745	12568	-0.1202
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	139617246	139619334	2	-1.1169
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	139619389	140598330	619	-0.0909
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	140599053	140600437	4	-1.0712
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	140601791	149486629	5389	-0.0866
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	149493193	149493212	2	-2.3179
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	149494154	172369346	14342	-0.1022
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	172374884	172377776	12	0.9867
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	172380371	173422522	639	-0.118
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	173424947	173428643	7	0.6938
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	173441132	189221258	10715	-0.1234
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	189221360	189221424	3	1.8221
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	4	189221439	191027923	1177	-0.1299
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	15532	15719350	12222	0.1885
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	15720075	15723485	11	-0.4691
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	15729327	21449276	3553	0.1723
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	21451200	21451998	4	1.0002
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	21452438	46271930	15038	0.1817
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	46272521	46273502	5	-1.8979
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	46278212	57321646	5083	0.1996
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	57326027	57333533	32	-0.5423
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	57338357	68829347	7304	0.1958
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	68846303	70254906	19	-0.2027
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	70306659	70391185	7	1.1174
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	70391253	117386617	28971	0.1723
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	117388422	117388963	10	-1.4145
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	117404340	151514171	21404	0.2014
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	151515386	151520271	15	-0.4549
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	151520422	155476998	2664	0.2104
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	155478762	155495250	12	-0.3281
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	155495253	177132443	14829	0.1992
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	177133658	177392898	40	-0.0922
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	177394036	180378710	1789	0.2104
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	180378888	180433225	19	-0.1622
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	5	180433264	180790320	170	0.178
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	149661	6026211	4863	-0.0384
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	6033931	6034436	3	-1.2566
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	6037045	29837072	16896	-0.0427
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	29837187	29874642	22	0.5987
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	29874709	30285121	204	-0.0538
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	30285405	30299245	3	-1.1042
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	30301600	31280823	459	-0.0163
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	31286276	31296451	11	0.8314
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	31309924	48930865	11001	-0.0313
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	48931729	48934975	3	-1.9001
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	48935079	65710729	7928	-0.0523
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	65711399	65717384	4	-1.0927
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	65731566	74592225	5927	-0.0686
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	74592457	74597341	8	-2.7854
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	74601410	77439868	1773	-0.0522
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	77440048	77452673	18	0.3752
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	77452689	78962889	982	-0.0806
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	78969065	79027770	107	0.3688
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	79032317	103734174	15501	-0.056
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	103734645	103762061	51	0.4664
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	6	103765470	171051005	44273	-0.0487
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	43355	148300	90	0.6196
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	155066	161517	12	-0.5032
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	162145	4674458	2420	0.7066
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	4683776	4683874	3	-0.5921
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	4685128	54380373	36077	0.6975
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	54386505	54386517	6	-1.0691
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	54393488	54684099	201	0.7139
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	54688844	54689416	3	-0.151
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	54693856	76143893	8289	0.6045
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	76153348	76161308	5	-0.5569
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	76161422	76327899	82	0.3173
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	76328083	76432717	42	0.5607
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	76432962	76438532	6	-0.1317
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	76438611	76504541	72	0.5641
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	76504575	76514426	26	0.252
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	76515213	86932765	6825	0.5785
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	86940803	86948227	4	-1.1804
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	86951809	105158056	10448	0.5954
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	105160424	105166520	3	-0.4669
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	105166776	109440919	2841	0.6008
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	109440920	109441212	5	-0.3136
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	109441244	133785177	14777	0.5909
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B02_781746	7	133785195	133795634	25	0.964
