Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	61735	86341	15	0.1993
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	98588	4349795	1301	-0.3506
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	4350859	4351888	3	-2.4909
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	4352710	12852748	5203	-0.3257
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	12857863	12867966	23	0.2769
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	12873385	30726875	10027	-0.3094
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	30731522	30745210	17	-1.028
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	30747576	35091458	2552	-0.3179
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	35091594	35114268	24	-0.9671
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	35115542	72003574	23383	-0.2949
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	72004095	72022230	19	-0.6933
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	72024819	72768916	456	-0.3402
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	72768936	72811148	45	-1.9602
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	72811904	95151813	14503	-0.3037
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	95152409	95152850	7	-0.9486
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	95155385	110187228	9178	-0.3003
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	110192766	110227515	26	-0.6128
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	110232974	110236947	14	-1.7993
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	110239522	112696308	1965	-0.3013
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	112696473	112706140	27	0.2395
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	112706149	119836835	4477	-0.2871
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	119840645	152555176	3553	0.4897
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	152555527	152586540	34	2.0398
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	152586576	152759678	173	0.4375
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	152761923	152762008	4	-0.6563
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	152762046	152762890	11	0.0047
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E05_568942	1	152762903	152768700	22	-0.5671
