Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	61735	2579341	533	0.0279
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	2694445	25583341	13589	-0.579
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	25593128	25646744	26	-1.5889
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	25646946	31621427	3008	-0.5712
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	31623667	31625389	3	-1.5689
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	31627099	31977350	193	-0.5514
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	31979319	31980298	2	-2.3763
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	31981400	33624408	694	-0.525
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	33625124	72756113	24934	0.0065
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	72756142	72763370	8	-1.0115
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	72768418	72811148	48	1.2793
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	72811904	76050844	1929	-0.0096
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	76054763	76054854	2	-2.5613
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	76059509	104157317	18138	-0.0015
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	104157336	104239689	19	-0.5378
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	104239986	106013376	930	-0.0285
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	106019205	106022375	17	0.7614
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	106024055	110224384	2656	7e-04
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	110224427	110242953	32	0.5223
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	110244998	111775675	1139	0.0119
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	111775977	111787436	22	-0.3025
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	111787872	149024808	7196	0.0203
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	149036524	149306068	141	-0.6068
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	149336636	152555527	1519	0.0026
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	152555706	152586238	31	-1.9155
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	152586278	152586594	4	-0.7518
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	152590494	152759678	171	0.0012
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	152761923	152768700	37	-1.5987
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	152773905	161508791	5277	0.014
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	161508875	161648237	50	0.3442
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	161648621	193155792	21800	-0.0063
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	193156279	193156348	4	-0.8828
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	193159723	208263980	9772	0.0017
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	208264901	208272036	7	-0.6624
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	208276987	209066445	695	-0.0151
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	209073907	209530176	336	-0.4811
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	209532042	248737447	27429	-0.0035
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	248749194	248797213	33	-0.6748
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	1	248805339	249224388	145	0.0118
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	12784	4203580	2989	-0.0126
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	4205687	4222703	36	-0.4714
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	4223167	18754849	11067	-0.0109
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	18760790	18993052	153	-0.5719
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	18995539	20797177	1308	0.0015
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	20797581	20800030	3	-1.0761
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	20803431	24599249	2384	-0.0029
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	24601511	24611128	20	-0.5361
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	24611727	34691069	6147	-0.0049
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	34699315	34701735	6	0.8362
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	34708632	34723027	28	0.4513
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E11_808634	2	34723090	34727867	10	0.7788
