Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	61735	228706	18	0.3086
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	228729	229677	6	-0.1968
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	235670	356542	5	0.5385
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	404171	1879955	309	-0.0774
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	1888193	9315847	4317	-0.7556
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	9326658	9402403	57	0.1713
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	9404693	12859413	1776	-0.6833
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	12862241	13763960	88	-0.3932
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	13776072	16363940	1877	-0.7427
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	16368133	16374330	4	-1.8508
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	16379331	16814994	199	-0.629
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	16815530	17262232	177	-0.1772
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	17262247	21347067	2810	-0.7267
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	21355220	104225568	51439	-0.0045
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	104239689	104303501	15	0.4568
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	104303639	106021204	924	-0.0132
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	106021219	106024055	12	0.4895
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	106024070	108766355	1960	-0.0044
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	108769302	108817179	2	1.0748
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	108828957	110226487	699	0.0229
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	110226743	110242953	24	0.7737
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	110244998	111376081	838	0.004
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	111376220	111379573	18	0.3433
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	111379750	113767257	1815	-0.0013
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	113767751	113775761	4	-0.8311
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	113776183	152555527	7333	0.0046
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	152555706	152586594	35	-0.7314
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	152590494	196714822	29736	-0.0032
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	196714873	196759274	41	-0.5903
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	196759288	196798643	32	-0.1719
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	196798664	196801655	15	-0.5226
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	196801784	228716940	21160	-7e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	228730668	228741147	4	-1.2675
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	1	228791784	249224388	14755	-0.0046
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	2	12784	4216420	2992	-0.0312
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	2	4216452	4223512	33	0.2365
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_E04_777174	2	4223567	29643332	17622	-0.0032
