Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	61735	712545	36	-0.0552
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	718663	4734076	1697	-0.4886
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	4734514	4735056	2	-3.4903
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	4735908	13384264	4845	-0.4363
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	13384383	13763960	36	-0.0763
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	13776072	17190004	2207	-0.4172
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	17190862	17262232	61	-0.9139
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	17262247	30382007	7394	-0.4187
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	30382557	30384611	2	-2.1318
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	30384652	61510619	18911	-0.405
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	61518439	61571392	25	-0.9024
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	61578159	72759524	7797	-0.3621
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	72760856	72811148	51	0.0296
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	72811904	97748085	16190	-0.3711
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	97748352	110233053	7530	-0.1163
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	110233118	110242953	15	0.9592
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	110244998	112690326	1955	-0.1364
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	112695965	112697390	25	0.4595
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	112705956	121447136	5186	-0.102
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	121482979	147929336	1139	0.5291
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	148513790	149024808	56	0.2774
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	149036524	149202878	82	-0.6232
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	149203331	149645033	94	-0.2748
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	149659890	149739073	19	0.2052
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	149748542	149778729	6	0.8456
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	149789022	152756410	1663	0.5218
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	152756538	152768700	42	0.866
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	152773905	159630243	4126	0.5056
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	159635021	159925431	211	0.9704
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	159927798	161508875	945	0.4847
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	161517939	161618820	26	0.7642
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	161618859	161638201	20	1.1736
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	161638480	174796405	9552	0.5482
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	174796556	174801840	16	0.0737
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	174801854	174887326	49	0.447
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	174890043	174966164	42	0.2243
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	174966431	196714873	14581	0.5676
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_E09_787452	1	196727850	196732086	4	1.3374
