Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	61735	62937	6	-1.5909
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	72704	16147392	8391	0.0852
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	16148537	16171036	22	0.7694
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	16176764	17190862	399	0.0555
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	17195155	17262247	61	-0.6972
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	17276241	25583341	5267	0.1056
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	25593128	25662005	30	-1.7443
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	25662212	35091674	4964	0.0678
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	35102654	35103036	6	1.4387
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	35103142	35103827	5	0.1639
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	35103864	35104491	9	1.0668
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	35114268	41129790	3242	0.0568
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	41130299	41130424	2	2.0292
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	41132175	43476957	1456	0.0868
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	43477796	43478606	2	-1.6798
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	43486624	72756174	19155	0.1044
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	72759212	72811148	54	1.0598
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	72811904	86773046	9182	0.1344
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	86776822	86778266	2	-2.0194
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	86780082	104128773	10892	0.1982
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	104129270	104132359	3	-0.9617
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	104155643	104159384	9	0.331
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	104163499	104268222	27	1.3691
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	104303403	106013376	920	0.1315
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	106019205	106022375	17	-0.8873
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	106024055	110226004	2661	0.141
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	110226140	110244998	28	1.0514
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	110246126	112690326	1956	0.1052
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	112695965	112706118	30	0.7372
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	112706128	118024611	3432	0.105
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A10_569158	1	118032157	144008631	1754	0.645
