Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	61735	404171	30	0.2146
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	534551	25571269	14002	-0.574
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	25574471	25687587	53	0.0979
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	25688276	27508987	767	-0.5697
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	27519936	27689910	67	-1.6132
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	27690297	27703045	3	-6.8701
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	27704890	36930393	4927	-0.57
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	36932624	42003752	2926	-0.1906
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	42005041	42006005	2	-1.7875
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	42008148	48837337	3981	-0.1879
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	48841815	48844612	2	1.7012
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	48845481	72768916	16096	-0.1986
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	72768936	72788725	18	-0.4635
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	72788844	72811148	27	-1.1715
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	72811904	75190782	1448	-0.2028
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	75193035	75199290	3	-1.4037
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A06_787484	1	75199784	75269284	57	-0.1996
