Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	61735	37626981	20477	0.008
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	37627289	37628812	3	-1.3818
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	37632836	53850525	8930	0.0021
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	53851165	53851854	2	-1.6261
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	53852154	106012754	34641	-0.0156
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	106013376	106021853	14	-0.4965
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	106022090	152555527	12711	0.0109
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	152555706	152590962	40	-0.2532
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	152591024	169216937	11517	0.0065
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	169233974	169242401	8	0.7385
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	169254877	199111426	19652	-0.0181
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	199111521	199113011	6	-0.7087
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	199113840	248737447	34343	-0.0094
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	248749194	248794464	29	-0.5486
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	1	248795289	249224388	149	-0.0076
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	12784	1786522	1158	-0.0118
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	1788006	1788623	2	-1.526
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	1789404	4205687	1829	-0.0069
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	4213864	4224019	42	-0.3671
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	4230062	41238235	25927	0.0141
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	41238443	41251265	25	-0.4608
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	41251278	50975828	6963	0.0343
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	50976171	50976852	6	-0.7907
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	50977979	52754468	1207	-0.0263
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	52754480	52754881	6	-1.1666
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	52758753	76844466	15577	0.0253
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	76845173	76845426	5	-0.7762
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	76847586	86937687	6371	-0.0046
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	86953070	86953854	2	-1.1275
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	86970406	106874722	7725	0.0365
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	106880095	106887255	13	-0.4221
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	106887408	109578513	1612	0.0282
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	109581602	109586437	12	-0.9187
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	109588356	123479951	7918	0.0302
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	123481713	123482241	7	-0.7871
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	123483653	130241617	4408	0.0094
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	130242500	130246343	5	-1.1563
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	130246833	133009808	1091	0.0176
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B12_730264	2	133012191	133121946	36	0.4434
