Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	61735	723317	38	0.065
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	728608	790549	20	-0.9872
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	791010	5102144	2017	0.0877
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	5112057	5174017	41	-0.9346
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	5179806	16153497	6289	0.1382
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	16153536	16167780	11	0.9889
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	16167799	16953771	320	0.1364
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	16953842	16963545	5	-0.8451
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	16963723	17177045	74	0.1103
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	17177965	17261797	62	0.8468
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	17261888	25418699	5148	0.1484
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	25423401	25424322	2	2.3033
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	25424889	25583341	118	0.2203
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	25593128	25662005	30	1.2603
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	25662212	35091638	4966	0.1221
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	35091674	35104491	21	0.9691
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	35114268	53597410	10080	0.1387
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	53598104	53598126	2	-2.1689
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	53599033	64356438	7948	0.1499
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	64356558	64359353	3	-2.1095
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	64361145	72763370	5820	0.1308
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	72768418	72811148	48	-1.7249
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	72811904	73084967	161	0.0454
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	73085346	73085446	2	-1.6465
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	73086201	75252602	1329	0.1157
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	75252764	75253144	2	1.4583
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	75254606	76050844	439	0.1295
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	76054763	76054854	2	2.1346
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	76059509	104159384	18153	0.1291
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	104163499	104268222	27	0.8904
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	104303403	112688311	5574	0.1257
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	112690211	112697390	28	0.5978
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	112705956	144542773	5226	0.1521
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	144545755	144868360	14	0.9673
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	144869084	144947693	62	-0.0367
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	144947719	145091858	57	0.5612
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	145092494	145206622	66	0.1881
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	145214255	145390114	30	0.6731
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	145390170	152555176	2577	0.161
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	152555527	152590962	40	-0.4967
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	152591024	158866573	3822	0.1336
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	158868501	158869759	2	-2.5412
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	158874818	168986492	7519	0.1314
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	168987120	168987211	2	-4.0729
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	168989386	193155792	15999	0.1248
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A05_569076	1	193156279	193156348	4	1.4762
