Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	61735	98588	16	-0.1045
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	98602	740857	24	0.8079
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	742293	10977102	5485	0.0802
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	10977123	11090278	62	0.5745
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	11092689	13375764	985	0.1079
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	13375968	13376042	3	1.2565
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	13376489	13798033	51	0.3422
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	13798462	13802325	4	1.0982
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	13802437	16149915	1779	0.0837
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	16153497	16167780	12	0.9882
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	16167799	35091674	10731	0.101
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	35102654	35104491	20	0.8025
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	35114268	36923032	822	0.095
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	36923133	36976687	30	0.477
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	36977565	41769432	2739	0.0896
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	41770312	41774354	2	-1.5821
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	41775255	62114006	12892	0.0808
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	62114951	62118187	2	-5.8858
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	62119809	72750353	7373	0.0752
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	72756113	72763370	9	-0.8472
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	72768418	72784154	17	0.4545
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	72784170	75177284	1474	-0.0036
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	75184418	75186369	2	-2.5399
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	75187501	90080384	9909	0.0379
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	90081163	90085992	8	-1.5991
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	90088225	94952697	2926	0.0705
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	94958378	95159588	249	0.5715
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	95159653	110224427	9182	0.0424
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	110225642	110242953	31	1.4816
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	110244998	144842558	7223	0.0917
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	144849539	144849552	3	3.3217
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	144865627	145228364	193	0.6537
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	145229178	145280322	14	1.5806
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	145287545	152555176	2588	0.615
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	152555527	152586594	34	-0.8246
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	152590494	152761923	172	0.4793
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B09_569174	1	152761939	152768281	32	-0.1031
