Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	61735	748139	43	0.0705
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	750334	17016872	8728	-0.2918
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	17016880	17048479	19	-1.01
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	17056457	17261211	79	-0.5762
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	17261248	25583341	5268	-0.2824
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	25593128	25662212	31	0.3292
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	25663310	35091674	4954	-0.3022
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	35102654	35104491	20	-1.6458
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	35114268	41021036	3185	-0.2983
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	41022076	41027850	2	-4.2402
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	41027928	76050844	22598	-0.3211
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	76054763	76054854	2	-2.129
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	76059509	106019310	19064	-0.3412
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	106019370	106024055	15	-1.1129
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	106024070	108729759	1938	-0.3289
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	108734235	108737496	3	-2.1479
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	108739104	112690326	2695	-0.3311
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	112695965	112696997	17	-0.9503
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	112697012	119333929	4208	-0.326
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	119340840	119394729	23	1.3214
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	119403485	120691121	855	0.8163
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	120693215	144842558	155	0.434
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	144849539	144868360	5	1.8489
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	144869084	146043724	384	0.5544
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	146101240	147420754	628	1.0403
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	147478446	152555706	1783	0.6634
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	152555767	152586594	34	3.0384
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	152590494	152759678	170	0.696
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	152761923	152768700	37	1.1642
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	152773905	157478538	2495	0.711
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	157482454	157482947	2	-2.6392
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	157483273	158511569	770	0.7125
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	158511659	158515085	27	0.4268
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	158516996	158866573	321	0.6925
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	158868501	158869759	2	2.478
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	158874818	158875051	2	-0.9196
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	158875543	160851191	1341	0.705
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	160851826	160949296	63	1.0577
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	160956745	161618251	269	1.3499
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	161618549	161618820	3	0.1362
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	161618859	163093458	1241	1.3702
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	163098996	169216937	4781	0.2871
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	169233974	169255402	10	1.0216
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	169256501	193155792	15778	0.2652
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	193156279	193156332	3	1.3177
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	193156348	196812507	2494	0.2443
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	196812530	196815791	2	4.007
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	196816730	217435746	13999	0.275
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	217441463	227426072	6479	-0.0373
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	227426205	227426406	2	-2.1952
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	227429178	233680563	4371	-0.0342
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	233684175	233684352	2	-2.1167
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	233685910	235001174	1099	-0.0311
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	235005122	235007056	3	-1.8023
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	235007555	241880230	5182	-0.0395
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	241880364	247200639	3657	0.2542
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	247201050	247205960	8	-0.9863
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	1	247207944	249224388	1098	0.2639
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	2	12784	3202997	2246	-0.3014
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	2	3203745	3204203	3	-1.7172
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	2	3204224	14706056	8788	-0.2883
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	2	14706269	14710092	10	-1.2766
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	2	14710364	22999150	5844	-0.2897
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_B11_730202	2	23000029	29599146	3695	0.1433
