Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	61735	16149343	8420	0.2116
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	16149915	16155010	11	-0.4716
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	16165661	16953771	323	0.2157
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	16953842	17076467	60	-0.1659
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	17082412	17190004	22	0.1846
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	17190862	17276241	63	0.6619
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	17277940	31621427	8312	0.2205
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	31623667	31625346	2	-1.0878
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	31625389	62114006	18466	0.2081
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	62114181	62118187	3	-1.5793
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	62119809	72763370	7384	0.2012
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	72768418	72811148	48	1.269
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	72811904	76050844	1932	0.201
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	76054763	76054854	2	-0.8773
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	76059509	78278391	1572	0.196
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	78288315	101644210	15080	0.4874
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	101648328	101655292	2	-1.4582
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	101655670	104128618	1500	0.4574
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	104128773	104257096	34	0.1576
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	104257579	104260032	3	-1.1953
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	104260239	106012754	922	0.4797
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	106013376	106022375	18	1.2502
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	106024055	110224427	2659	0.4727
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	110225642	110242953	31	1.2481
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	110244998	111376220	840	0.4799
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	111377368	111383972	37	-8e-04
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	111388184	112690326	1081	0.4622
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	112695965	112697012	18	1.0286
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	112697174	152555706	8052	0.4805
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	152555767	152586238	30	-1.7628
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	152586278	152586594	4	-0.4796
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	152590494	152759678	171	0.463
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	152761923	152768700	37	-1.3189
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	152773905	161478751	5274	0.4672
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	161478993	161638513	57	0.0212
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	161648237	196014664	23811	0.4708
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	196019444	196020060	3	-0.7369
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	196020389	196709760	426	0.4542
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	196711067	196827855	107	0.869
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	196828779	199107702	1373	0.4414
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	199111363	199114390	11	1.0451
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	199114747	221578474	15431	0.4753
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	221580058	221580405	2	-1.041
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	221580870	229811169	5077	0.47
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	229816856	229820196	3	-3.1725
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	229820456	248709670	13890	0.4788
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	248713868	248805339	39	0.11
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	1	248808557	249224388	144	0.546
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	12784	4205687	2991	0.2107
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	4213864	4224019	42	-0.5149
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	4230062	17674793	10163	0.2016
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	17675735	17675959	2	-1.9268
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	17678048	29643332	7482	0.2008
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	29643885	29644646	7	-0.4794
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	29644937	34699315	3438	0.1984
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	34701394	34737057	45	0.9408
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	34737163	36088642	977	0.2039
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	36089472	36089929	2	-1.0004
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E10_781842	2	36091829	41238235	3854	0.2091
