Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	61735	728608	39	0.0779
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	740857	990839	57	-0.3211
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	1003629	1017216	2	-2.2071
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	1018704	10246129	5025	-0.028
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	10246654	10249963	3	-1.7041
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	10249977	56495121	26219	0.0059
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	56495368	56496645	3	-1.89
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	56499451	56637166	79	-0.0186
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	56638782	56639950	2	-1.5716
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	56643355	62118187	4232	0.0044
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	62119809	62120564	3	-1.4062
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	62120581	62280985	109	0.0226
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	62284266	62288311	7	-0.8575
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	62289073	72768418	7263	-0.0013
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	72768498	72775134	10	0.8288
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	72779080	72794304	13	0.1716
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	72794462	72811148	24	0.7679
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	72811904	89475255	10984	-0.0142
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	89477958	89478205	2	-3.4456
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	89481524	104159384	9103	-0.0041
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	104163499	104303403	28	-0.5624
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	104303501	106013376	919	-0.0321
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	106019205	106021219	7	0.7616
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	106021381	106021853	6	1.4247
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	106022090	106022375	4	0.8872
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	106024055	110232974	2672	-0.0066
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	110233037	110240178	16	-1.4656
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	110242953	144007049	7172	0.0105
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	144008315	144076688	39	-0.4431
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	144081043	148519976	1098	-0.0068
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	148526488	148555464	5	-1.0253
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	148559499	152555706	1712	-0.004
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	152555767	152586238	30	-2.3059
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	152586278	152759678	175	-0.0081
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	152761923	152768700	37	0.599
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	152773905	196732086	29569	-0.0102
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	196738623	196815791	92	-0.6571
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	196816730	199107702	1378	-0.0266
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	199111363	199113840	9	-2.6463
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	199114238	208837454	6423	-0.0037
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	208837643	208837909	2	-1.8784
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	208837966	210071062	1010	-0.0182
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	210081613	210083984	3	-2.4036
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	210086552	240818648	21544	-0.0106
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	240820516	240821073	3	-1.4838
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	240825300	243059750	1761	-0.0217
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	243059752	243129352	41	-0.3147
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	243134707	248749194	3603	-0.0067
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	248749219	248797213	32	-0.6802
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	1	248805339	249224388	145	-0.0755
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	2	12784	4205687	2987	-0.0601
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	2	4213864	4224019	42	-0.8522
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	2	4230062	15561440	8674	-0.0133
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	2	15568308	15569376	3	-1.7536
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	2	15571828	15665719	49	-0.0475
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	2	15669939	15670373	2	-1.7521
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	2	15676091	24599249	6184	-0.0236
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_D05_585188	2	24601511	24611128	20	-0.744
