Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	61735	2926555	627	0.2082
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	2931327	2932222	2	-0.9654
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	2932446	5281675	1578	0.0716
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	5288559	16142960	6195	-0.659
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	16147032	16171036	27	-0.0302
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	16176764	16869363	294	-0.5802
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	16871278	17005734	43	-0.8973
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	17005776	17209603	65	-0.5612
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	17210652	17340878	85	-0.1895
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	17341238	25583291	5234	-0.6552
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	25583341	25662212	32	0.1246
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	25663310	30479770	2173	-0.6442
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	30485510	30488561	4	-5.7882
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	30490594	31523851	790	-0.6796
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	31536624	65937065	21329	0.1036
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	65939158	65942707	4	-0.708
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	65944939	72740734	4549	0.0745
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	72746533	72811148	63	0.4283
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	72811904	96577371	15513	0.0697
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	96578760	97626989	612	-0.7131
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	97631670	104221531	3983	0.0517
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	104221631	104225568	10	-0.4967
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	104239689	110227515	3621	0.0727
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	110232974	110246130	21	1.25
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	110246273	110250235	4	-0.4323
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	110250236	110431020	127	0.0855
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	110431422	110431514	2	-1.0209
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	110433921	111378895	710	0.0858
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	111379065	111388226	33	0.3273
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	111392067	112690326	1079	0.0877
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	112695965	112706062	28	0.534
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	112706082	148947710	6375	0.1155
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	148949202	149336636	147	-0.4523
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	149336702	150357653	321	0.0612
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	150363071	150415444	26	0.3657
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	150415833	152759678	1380	0.1272
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	152761923	152768700	37	1.0157
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	152773905	155180466	1345	0.1062
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	155189160	155197957	10	1.0344
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	155201064	158744665	2174	0.1015
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	158745653	158746150	3	-0.8597
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	158746336	161508791	1749	0.0937
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	161508875	161638201	47	-0.422
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	161638480	169216937	6022	0.0923
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	169233974	169238558	4	-3.349
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	169238731	169241766	3	-0.7306
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	169242401	174796699	3529	0.08
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	174796714	174801854	15	-0.4832
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	174801872	189097593	9577	0.0727
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	189097756	189098485	2	-1.2133
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	189098598	196714873	5091	0.046
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	196727850	196801850	90	0.3893
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	196801987	196946806	91	0.0996
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	196946869	196947314	3	-0.7093
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	196948470	197546426	296	0.0513
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	197548933	202368415	3221	-0.6809
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	202370997	209402765	4632	0.0805
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	209407765	210071062	586	0.5252
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	210081613	210082065	2	-1.6646
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	210083984	213454598	2175	0.5236
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	213456092	213456220	2	-0.8316
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	213460748	214003718	409	0.5343
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	214007190	214011905	3	-0.696
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	214014136	234907679	14530	0.5194
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	234908088	234932632	8	0.1568
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	234933506	235152757	169	0.5468
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_C05_585460	1	235154431	235263993	16	0.9091
