Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	61735	22323157	12248	0.0291
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	22328279	22337243	4	-0.9704
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	22338125	25418699	1796	0.0562
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	25423401	25424322	2	-1.6042
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	25424889	25583341	118	0.0652
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	25593128	25646946	27	0.6597
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	25646986	52256358	14394	0.0222
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	52256884	52263882	2	-1.8877
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	52264064	76050844	16454	-0.0254
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	76054763	76054854	2	-2.8188
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	76059509	79337233	2174	-0.0568
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	79344942	79348506	3	-1.1292
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	79353290	106013376	16935	-0.0549
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	106019205	106022375	17	0.688
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	106024055	108729759	1941	-0.0422
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	108734235	108737496	3	-1.658
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	108739104	110227515	725	-0.0136
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	110232974	110240178	17	-0.6265
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	110242953	112696087	1961	-0.0116
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	112696193	112697390	23	0.5208
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	112705956	148585337	6343	-0.0016
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	148627569	148636911	6	-0.9396
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	148660826	152555527	1696	0.0223
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	152555706	152586594	35	-1.9256
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	152590494	152759678	171	-0.0424
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	152761923	152768700	37	-1.6617
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	152773905	158866573	3625	0.0042
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	158868501	158869759	2	1.2365
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	158874818	158876474	4	-0.4141
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	158879747	158887302	9	0.3938
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	158887317	160146173	832	-0.0111
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	160146494	160146943	4	-0.9533
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	160148671	169216937	6874	-0.0094
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	169233974	169241766	7	-2.2646
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	169242401	174796699	3530	-0.0243
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	174796714	174801854	15	0.3545
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	174801872	196714873	14671	-0.0492
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_B09_585436	1	196727850	196759288	41	-1.8502
