Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	61735	1692321	251	0.0397
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	1693330	1948458	105	0.3078
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	1957324	12834580	6169	-0.0069
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	12835868	13384383	65	-0.4075
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	13384473	16135786	1814	0.0105
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	16137774	16167780	27	0.4505
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	16167799	17011778	349	0.0191
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	17011891	17012741	7	-0.7496
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	17012785	56495121	22582	0.0212
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	56495368	56496645	3	-2.1265
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	56499451	63380287	5160	0.0378
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	63382493	63681668	275	-0.5987
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	63683875	63684460	2	-2.1882
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	63688070	70443432	4757	-0.5671
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	70444896	70470682	20	0.07
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	70470933	72768916	1483	0.3782
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	72768936	72811076	43	0.95
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H09_568838	1	72811133	85974030	8630	0.4372
