Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	61735	235938	27	0.2764
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	356443	10670891	5360	-0.0465
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	10671420	10679721	3	-1.3572
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	10681806	16153497	3022	-0.0284
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	16153536	16171036	15	0.4462
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	16176764	17005978	338	0.0188
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	17011450	17076467	37	-0.4053
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	17082412	17217480	32	-0.073
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	17217907	17262247	52	-0.359
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	17276241	35466665	10473	-0.0264
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	35466986	35471265	2	-1.3898
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	35477180	62113102	16255	-0.0216
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	62114006	62118187	4	-2.1168
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	62119809	72746547	7350	-0.0146
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	72746567	72809372	55	0.2044
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	72809431	86905914	9242	-0.0209
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	86906996	86909582	4	-1.1929
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	86910264	104163787	10826	-0.0179
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	104178038	104303403	26	-0.4583
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	104303501	110232974	3607	-0.0096
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	110233037	110244998	18	0.8861
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	110246126	111364872	826	-0.0273
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	111366102	111395110	58	0.2273
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	111395388	111928394	443	-0.0116
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	111929137	111933231	5	-0.7527
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	111935668	112690326	621	-0.0308
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	112695965	112706198	35	0.3561
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	112706205	144842558	5228	-0.0038
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	144849539	144849552	3	1.0972
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	144865627	152571937	2807	0.0361
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	152572181	152586594	20	-0.4853
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	152590494	152759678	170	-0.0252
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	152761923	152768700	37	-1.2951
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	152773905	199111363	30960	0.0097
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	199111426	199113011	7	-0.5771
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	199113840	210071062	7426	0.0072
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	210081613	210083984	3	-2.3007
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	210086552	229811169	13049	0.0036
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	229816856	229820196	3	-2.6235
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	229820456	240391740	8106	-0.0032
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	240394015	240394139	6	-1.73
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	240396105	248749194	5748	-0.0014
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	248749219	248789692	24	-0.5107
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	248789873	248790288	3	-1.3345
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	248794464	248809109	9	-0.4411
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	1	248809369	249224388	141	0.0543
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	12784	1786221	1157	-0.0456
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	1786522	1802922	9	-0.8084
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	1803886	4205687	1822	-0.0717
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	4213864	4223567	38	-0.4931
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	4223695	5736039	1162	-0.0638
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	5736321	5737113	3	-0.9946
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	5737581	8160110	2133	-0.0567
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	8160926	8163587	5	-1.0296
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	8164936	34691069	17753	-0.0218
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	34699315	34741027	53	0.2075
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	34742910	52754468	13008	-0.0125
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	52754480	52781542	39	-1.8146
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	52787949	76844466	15548	-0.021
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	76845173	76845426	5	-1.0774
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	76847586	106883229	14101	-0.0225
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	106883331	106885357	7	0.6627
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	106887255	129638078	13430	-0.0203
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	129638478	129640297	14	-0.6337
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	129640315	133046772	1609	-0.0375
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	133049047	133129285	33	0.2549
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	133129416	146862085	8829	-0.0287
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	146864404	146877806	25	-1.2492
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	2	146878395	243089456	59080	-0.0213
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	60345	14856803	12045	-0.0151
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	14856838	14857093	2	-2.6524
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	14857773	75421170	40640	-0.0181
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	75427107	75639507	76	-0.7704
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	75645384	75688286	11	-0.1021
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	75690319	75826186	42	0.2095
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	75827610	81595080	3353	-0.0168
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	81596092	81597307	3	-0.9755
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	81600797	84102222	1275	-0.0458
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	84105433	84106166	2	-2.7131
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	84110967	98944511	6310	-0.018
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	98944547	98949314	33	-0.4303
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	98949421	104806853	3482	-0.0132
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	104806865	104806923	2	-1.641
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	104809335	114781900	6042	-0.0091
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	114783906	114887716	42	-0.4692
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	114911515	116243722	920	-0.0494
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	116246069	116868719	538	-0.7093
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	116870848	129787199	7709	-0.0234
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	129787254	129806052	38	-0.2738
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	129806236	143285818	8369	-0.0202
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	143285915	143285974	2	1.2838
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	143286801	151525324	5227	-0.0134
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	151530121	151530313	2	-1.178
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	151531894	162508268	6670	-0.0188
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	162512657	162628643	74	0.451
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	162628679	169348944	3906	-0.0054
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	169349862	169350604	2	-1.2448
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	169352458	174777388	3473	-0.0124
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	174779097	175071986	263	-0.7735
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	175076171	189360754	9023	-0.0158
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	189363678	189371014	13	-0.6797
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	189372351	192877962	2496	-0.0298
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	192878045	192882903	18	1.1087
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	192886435	195285664	1485	-0.0059
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	195285898	195464866	45	0.3264
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	3	195473796	197896118	1175	0.0342
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	12281	66719	58	-0.2892
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	68821	3599450	1452	-0.0283
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	3599869	3602184	2	-1.5892
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	3609390	9456977	3725	-0.0453
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	9461230	9479206	8	0.7472
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	9479345	34778975	17545	-0.0271
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	34779004	34824725	42	0.4878
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	34829872	43145074	5524	-0.0108
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	43145397	43150072	11	-0.5175
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	43156435	53709177	4007	-0.0094
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	53711459	53718389	8	-0.624
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	53721008	64692979	7019	-0.0283
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	64693940	64705785	22	-0.6933
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	64707581	64708258	8	-2.1472
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	64716431	69284591	2862	-0.027
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	69288138	69288142	3	0.942
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	69294799	92193156	14128	-0.0044
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	92195438	92227700	21	-0.6989
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	92229992	114004177	12799	-0.0153
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	114005209	114005386	3	-1.3175
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	114005646	152789393	22994	-0.0164
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F05_730216	4	152789786	152792891	14	-0.8439
