Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	61735	17209603	8837	-0.2172
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	17210652	17257943	41	0.2728
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	17258139	25570830	5282	-0.2133
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	25571269	25685785	49	0.1289
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	25685844	62114006	21468	-0.2142
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	62114181	62118187	3	-2.4648
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	62119809	72750353	7375	-0.2038
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	72756113	72763370	9	-2.0793
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	72768418	72811148	48	0.5922
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	72811904	106012754	21047	-0.2099
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	106013376	106022375	18	-0.9808
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	106024055	110227515	2670	-0.1902
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	110232974	110240178	17	1.4092
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	110242953	111380020	862	-0.22
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	111382479	111388226	18	0.125
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	111392067	112690326	1079	-0.2153
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	112695965	112697390	25	-1.0091
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	112705956	145390170	5467	-0.2062
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_F07_585320	1	145391761	148662352	887	0.0387
