Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	61735	235938	27	-0.0371
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	356443	761732	22	0.4173
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	762118	4544793	1485	-0.1399
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	4546209	4549933	6	-0.9375
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	4550753	16149915	6869	-0.1133
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	16153497	16153925	6	-1.7143
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	16154201	17056457	385	-0.0874
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	17076467	17114712	19	-0.582
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	17177045	18006277	552	-0.0875
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	18007096	18011103	3	0.7137
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	18014420	22319001	2857	-0.0982
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	22320515	22338125	8	-1.0445
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	22342389	25583341	1912	-0.1013
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	25593128	25662005	30	-1.2586
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	25662212	50161291	13468	-0.1152
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	50169645	50314101	51	-0.5744
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	50316495	72768498	15292	-0.1244
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	72768916	72811148	46	0.1261
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	72811904	89475255	10971	-0.1482
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	89477958	89478205	2	-2.4988
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	89481524	100433635	6877	-0.1372
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	100438593	100525469	50	-0.5103
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	100527924	108298979	4752	-0.1432
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	108299479	108300141	2	-1.2879
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	108302031	110233118	1049	-0.0993
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	110233262	110240178	13	0.9888
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	110242953	111376220	839	-0.1305
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	111377368	111388226	39	0.1521
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	111392067	112690326	1076	-0.1413
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	112695965	112706082	29	0.4056
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	112706118	144957815	5312	-0.1177
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	144965770	145054263	39	-0.4198
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	145060294	149205415	1117	-0.1104
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	149205429	149259416	38	0.1907
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	149273545	152555527	1526	-0.1265
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_F08_730206	1	152555706	152586594	35	1.9947
