Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	61735	16147032	8409	-0.0592
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	16147063	16171036	26	0.5509
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	16176764	16895627	299	-0.0716
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	16896821	17056457	76	0.2751
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	17076467	17109281	13	-0.1792
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	17111296	17262247	72	-0.4218
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	17276241	25583341	5275	-0.0421
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	25593128	25646946	27	-1.9421
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	25646986	51248992	13990	-0.0533
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	51250895	51385592	60	0.2205
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	51389678	55090200	1989	-0.0574
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	55093291	55094389	2	1.3433
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	55096450	57651809	2064	-0.0388
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	57651938	57654660	6	-1.0552
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	57658036	62114006	3369	-0.0393
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	62114951	62118187	2	-5.2563
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	62119809	72756174	7379	-0.0442
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_C11_568978	1	72759212	72811148	54	0.3798
