Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	61735	12873385	6554	-0.1066
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	12877057	12927107	12	-0.7429
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	12927856	16149915	1852	-0.1073
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	16153497	16153925	6	-2.2803
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	16154201	17114712	405	-0.0876
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	17177045	17282425	69	-0.5759
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	17283075	25571269	5262	-0.0857
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	25574471	25687544	52	-0.3289
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	25687587	30184426	1916	-0.0911
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	30185088	30187374	9	-1.419
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	30190281	31621427	1070	-0.1178
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	31623667	31625346	2	-2.3184
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	31625389	35091674	1956	-0.094
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	35102654	35104491	20	-0.7976
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	35114268	49649795	8294	-0.1013
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	49653482	49791480	54	-0.5202
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	49793706	50002247	88	-0.117
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	50008811	50354790	127	-0.4273
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	50358608	72750353	15305	-0.1178
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	72756113	72763370	9	-1.1767
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	72768418	104221531	20151	-0.1274
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	104221631	104225568	10	-0.8285
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	104239689	104303403	14	0.5628
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	104303501	106019205	920	-0.1255
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	106019236	106022375	16	0.6842
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	106024055	110221727	2657	-0.1162
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	110224384	110246281	39	-0.8071
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A06_781906	1	110250235	112688311	1949	-0.1053
