Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	61735	235938	27	0.2764
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	356443	16869363	8703	-0.1374
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	16871278	17005776	44	-0.5739
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	17005978	17017078	19	-0.0944
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	17017530	17048479	17	-0.9563
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	17056457	17283075	90	-0.425
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	17284920	25583341	5268	-0.1125
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	25593128	25662212	31	-1.4557
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	25663310	39070486	7145	-0.1148
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	39070541	39070561	2	-2.4138
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	39070859	49158535	5804	-0.1012
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	49159681	49463801	232	-0.9268
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	49464576	62112763	8288	-0.11
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	62113102	62119978	7	-0.8065
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	62120564	62441731	254	-0.1089
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	62441752	62466233	26	0.2166
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	62468653	70966657	5933	-0.1005
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	70970795	70972133	2	-3.7634
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	70972147	72768916	1169	-0.1351
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	72768936	72811148	45	-1.3017
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	72811904	104159384	20095	-0.1022
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	104163499	104268222	27	-1.1765
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	104303403	106013376	920	-0.1169
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	106019205	106022375	17	0.553
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	106024055	110226743	2666	-0.0865
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	110226970	110242953	23	0.7975
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	110244998	111377368	841	-0.1001
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	111377565	111388226	38	-0.7533
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	111392067	144842558	6344	-0.0988
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	144849539	144849552	3	1.8854
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	144865627	149229843	1245	-0.0921
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	149242663	149254920	22	0.5548
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	149256691	152555527	1527	-0.0683
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	152555706	152586238	31	-1.5997
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	152586278	152759678	175	-0.1106
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	152761923	152768700	37	-1.3909
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	152773905	158866573	3624	-0.0994
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	158868501	158869759	2	1.2266
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	158874818	161618691	1681	-0.0866
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	161618820	161648237	24	0.3269
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	161648621	167764835	4901	-0.0751
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	167766183	167766919	4	-1.5233
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	167768513	196714873	19335	-0.0831
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	196727850	196771280	47	-0.6769
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	196783626	198304536	872	-0.0944
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	198306860	198307779	3	-1.021
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	198311359	199111521	556	-0.1145
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	199111690	199113840	6	-0.8208
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	199114238	220868444	14949	-0.0771
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	220868508	220879252	2	-1.4688
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	220879617	225659815	3081	-0.0883
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	225660014	225670344	13	-0.4784
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	225673293	227425301	1082	-0.0966
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	227426072	227426406	3	-1.327
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	227429178	243048740	11596	-0.1429
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	243049874	243054702	3	-1.5606
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	243055542	243854196	458	-0.1918
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	243860924	243861061	5	-1.4367
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	243863108	248635140	3185	-0.1509
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	248637264	248683401	10	0.3406
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	248683402	248709670	12	-0.1701
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	248713868	248789692	30	0.2959
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	1	248789873	249224388	153	-0.1507
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	12784	21833	4	-0.0166
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	22492	14345791	10729	0.2422
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	14348914	14352324	2	-0.9943
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	14353910	14358041	18	0.2699
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	14358126	14358170	3	0.8888
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	14358353	22598926	5917	0.3377
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	22600920	22600932	2	-0.8214
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	22601152	34683290	7447	0.329
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	34685280	34727867	46	0.0676
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	34736513	35975973	880	0.3187
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	35977790	35986908	5	1.1571
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	35987916	36335596	276	0.321
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	36335597	36336861	10	-0.0752
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	36336962	41107517	3554	0.3442
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	41108035	41108070	2	-0.9029
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	41110983	52754480	8331	0.3324
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	52754500	52781542	38	0.9947
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	52787949	87314125	22041	0.3385
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	87322042	87344738	4	1.2999
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	87361172	91653362	1030	0.3838
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	91653946	91810190	41	-0.0455
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	91812834	98118128	985	0.4065
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	98118212	98162189	10	-0.5582
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	98166878	106874649	5581	0.4506
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	106874722	106885357	13	0.93
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	106887255	110462496	2112	0.4575
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	110467473	110856889	27	0.1998
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	110860798	110876917	8	-0.4273
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	110877051	110983681	52	0.4355
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	111037146	114362015	1646	-0.0556
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	114362414	114380821	3	1.1587
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	114383552	119482463	3224	-0.0812
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	119486489	119486790	2	-1.4631
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	119487512	124275844	3079	-0.0689
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	124277641	124278997	2	-1.5846
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	124279468	130817360	4204	-0.0791
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	130818197	130874488	12	0.449
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	130874876	133009808	707	-0.1098
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	133012191	133108026	31	0.3082
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	133114536	138488100	3693	-0.085
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	138489527	138495247	2	-1.8949
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	138495892	146862085	5159	-0.1044
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	146864404	146866934	24	0.8192
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	146877806	153796068	4209	-0.0799
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	153796770	153800774	4	-1.2971
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	153801268	180061655	16090	-0.0588
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	180067192	180076663	2	-1.8384
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	180079144	180418333	221	-0.055
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	180418388	180421888	25	-0.7803
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	180421906	195944168	9031	-0.0579
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	195944972	195956498	12	-0.3263
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	195963885	198891067	1656	-0.051
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	198894512	198895093	2	-2.0673
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	198898139	202422866	2101	-0.0596
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	202423395	202423704	3	0.8497
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	202426707	213369618	6873	-0.0642
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	213370362	213370702	2	-2.5401
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	213372988	241611321	18335	-0.0809
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	241626057	241644811	3	-1.2101
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	2	241644934	243089456	616	-0.1133
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	60345	87187	22	0.1639
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	87232	128189	36	0.5643
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	134991	6004542	5199	0.2387
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	6004769	6010618	4	-0.8234
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	6010772	23979303	12674	0.2657
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	23981429	23982328	2	-1.1429
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	23982330	38929425	10416	0.2803
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	38938349	38938570	4	-0.8969
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	38938651	61131180	13631	0.2406
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	61136874	61206993	68	-0.2858
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	61207077	68746164	5842	0.3029
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	68746259	68747413	14	0.9815
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	68748758	75406398	4875	0.2982
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	75415863	75545172	54	-0.9106
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	75545822	75608639	19	-0.2379
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	75613174	75639507	5	-0.7698
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_E11_781784	3	75645384	98944632	11016	0.2909
