Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	61735	229619	23	0.2908
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	229677	34686130	18828	-0.1103
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	34691739	35513351	537	0.2571
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	35514480	49794516	8133	-0.115
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	49797804	49930552	61	-0.5448
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	49930849	54416719	2246	-0.1224
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	54416921	54575573	82	0.195
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	54576453	54668562	65	0.5511
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	54668632	55047724	222	0.2594
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	55047801	67881390	9719	-0.12
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	67887563	67888359	3	-1.6836
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	67889571	72768418	3122	-0.122
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	72768498	72811148	47	-1.2888
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	72811904	106019236	21040	-0.1264
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	106019310	106022360	14	0.7936
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	106022375	107031828	669	-0.1178
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B05_781774	1	107032625	107061772	21	-0.53
