Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	61735	356443	28	-0.0067
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	356542	12892508	6492	-0.547
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	12909977	12927107	7	-2.666
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	12927856	16142960	1835	-0.5128
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	16147032	16171036	27	0.222
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	16176764	17190862	399	-0.4954
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	17195155	17302569	77	-0.9423
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	17303844	25583341	5225	-0.5012
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	25593128	25646689	25	-2.3551
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	25646744	31968315	3181	-0.5188
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	31972489	31973348	2	-2.1352
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	31973789	35091674	1769	-0.4927
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	35102654	35104491	20	-2.0966
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	35114268	42002738	3741	-0.5091
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	42002777	42005041	5	-1.9383
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	42006005	49157928	4183	-0.557
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	49158535	49162396	4	-3.9295
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	49164608	72750353	15850	-0.5616
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	72756113	72763370	9	-2.7059
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	72768418	72811148	48	0.7037
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	72811904	90814359	11766	-0.5827
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	90818694	90818713	2	-2.7869
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	90818872	101386959	6627	-0.5845
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	101392331	102513145	826	0.0754
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	102513226	106021219	1790	-0.5818
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	106021381	106024137	14	-1.5499
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	106024798	108766355	1957	-0.5783
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	108769302	108817179	2	-3.46
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	108828957	110156212	667	-0.5314
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	110158780	110242953	56	-1.0122
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	110244998	112696193	1945	-0.5754
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	112696273	112706062	25	0.3128
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	112706082	118359365	3644	-0.5754
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	118361977	152555527	4382	0.1056
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	152555706	152586594	35	-1.7979
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	152590494	152759678	171	0.1066
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	152761923	152768700	37	-2.0528
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	152773905	193213210	27261	0.1016
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	193213391	193213474	4	2.2323
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E09_568932	1	193221915	196698242	2276	0.0867
