Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	61735	228729	19	0.0615
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	229075	229619	4	-1.129
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	229677	10091661	5025	0.0524
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	10097020	10103011	5	-0.8176
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	10106775	17012741	3733	0.0719
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	17012785	17048479	23	-0.4902
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	17056457	25583341	5354	0.0622
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	25593128	25646946	27	-1.5604
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	25646986	53241858	14862	0.078
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	53250213	55090200	1171	-0.4074
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	55093291	55094389	2	-1.7629
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	55096450	65897951	8230	-0.3646
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	65898001	65906265	3	0.6912
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	65906762	72768916	4576	-0.3278
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	72768936	72809372	39	-1.0654
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	72809431	104128773	20065	-0.3465
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	104129270	104303403	40	-0.7907
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	104303501	109774026	3375	-0.3245
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	109778237	109782003	2	-1.7755
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	109782037	110227500	228	-0.3607
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	110227515	110244998	20	0.4047
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	110246126	112614704	1892	-0.3748
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	112614742	112619456	2	-1.7046
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	112620519	112696273	60	-0.3367
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	112696308	112697390	21	0.0637
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	112705956	120558480	5055	-0.3597
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	120563977	148870937	1301	0.1048
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	148893345	149024808	15	0.5185
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	149036524	149256691	133	0.7932
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	149259416	149578722	38	0.5261
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	149617451	152555527	1490	0.1002
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	152555706	152586594	35	-1.6832
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	152590494	152759678	171	0.0921
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	152761923	152768700	37	-1.4821
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	152773905	179323738	17966	0.0974
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	179330528	179331382	2	-2.1013
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	179333315	179610058	178	0.0959
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	179621932	179622081	2	-1.2847
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	179623244	196709760	11393	0.0819
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	196711067	196801850	94	0.3207
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	1	196801987	249224388	35941	0.0823
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	12784	4216905	2998	0.0083
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	4217184	4224019	35	0.3104
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	4230062	34664750	21071	0.0626
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	34675467	34736513	50	-0.2133
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	34737057	35975973	878	0.1016
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	35977790	35987916	6	-1.8826
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	35987947	52754468	12163	0.0805
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	52754480	52781542	39	0.6115
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	52787949	78993592	16919	0.0782
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	78993740	79004888	12	-0.8436
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	79007930	84098574	3340	0.0364
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	84101575	84105959	2	-0.9509
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	84106634	87128201	1728	0.0785
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	87129203	87137385	2	-1.4495
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	87161853	98154265	2080	0.0472
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	98157272	98161710	3	-1.4363
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	98162189	106874649	5575	0.066
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	106874722	106885357	13	-0.4441
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	106887255	112319781	2694	0.0684
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	112323351	112367825	9	-0.6385
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	112373169	129638982	10753	0.0676
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	129638997	129640329	9	-0.6279
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	129646448	130210143	473	0.0592
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	130210645	130215281	4	0.7508
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	130216043	130734721	373	0.0116
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	130737303	130737320	2	1.2969
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	130744961	133038729	752	0.0122
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	133046772	133115037	28	0.3766
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	133117260	159661485	16483	0.0531
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	159662522	159662798	2	-2.2649
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	159664703	208354912	29371	0.0877
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	208354955	208359336	17	-0.7793
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	208359476	237724322	18956	0.0612
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	237728402	237736232	11	-0.6571
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	2	237736561	243089456	3174	0.0371
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	60345	1740270	1506	0.0587
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	1740624	1746559	13	-0.4013
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	1746581	68746259	46339	0.0826
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	68746284	68747413	13	-1.2425
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	68748758	75572549	4936	0.0645
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	75576561	75586805	5	-1.6685
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	75595181	98944476	11008	0.0431
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	98944511	98949108	28	0.3904
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	98949156	129762859	18755	0.0807
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	129763698	129806236	52	-1.3254
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	129806924	141994542	7537	0.0816
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	141998497	142104017	40	-0.2728
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	142106134	162123366	12437	0.0814
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	162137600	162142705	14	-0.5829
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	162144248	162226794	86	0.054
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B06_808654	3	162226807	162236534	5	0.6406
