Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	61735	229677	24	-0.5227
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	235670	14673271	7318	0.0455
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	14673385	14837953	137	-0.1522
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	14838731	16149343	939	0.0716
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	16149915	16153925	7	0.5437
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	16154201	25583291	5739	0.0629
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	25583341	25661501	30	0.565
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	25662005	35091458	4966	0.0353
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	35091594	35104491	23	-0.3113
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	35114268	49858675	8381	0.006
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	49861717	49997674	51	-0.647
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	49997863	72760856	15428	-0.0103
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	72762676	72811148	50	0.4658
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	72811904	81888456	5787	-0.0249
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	81888602	81888605	2	1.4093
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	81888667	104225557	14310	-0.0185
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	104225568	104303403	15	0.3717
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	104303501	105622533	699	-0.0408
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	105622940	105623553	2	1.4288
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	105626818	110227515	2904	-0.021
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	110232974	110244998	19	-0.6702
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	110246126	112696087	1956	-0.0183
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	112696193	112705956	24	0.4314
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	112706060	148747653	6356	7e-04
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	148789461	149644969	197	0.3429
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	149645033	152555527	1486	-0.0064
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	152555706	152586540	33	0.333
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_D05_808704	1	152586576	152759678	173	0.0023
