Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	61735	16149915	8422	0.0298
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	16153497	16167799	13	0.5427
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	16167855	16931329	312	0.0246
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	16931526	16970456	28	-0.3339
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	17005734	17017078	21	0.1253
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	17017530	17303844	120	-0.1764
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	17308158	25583341	5254	0.0559
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	25593128	25662212	31	0.4993
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	25663310	35091674	4968	0.0458
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	35102654	35114268	21	-0.6432
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	35115542	72768916	23869	0.034
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	72768936	72811148	45	-1.1982
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	72811904	76050844	1933	-0.0329
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	76054763	76054854	2	-1.938
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	76059509	81888602	3855	-0.0241
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	81888605	81888724	5	-0.8925
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	81888868	89475255	5185	0.009
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_C10_787532	1	89477958	89478205	2	-2.4772
