Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	61735	98588	16	0.9431
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	98602	603590	17	0.1138
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	625470	16149915	8377	-0.1115
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	16153497	16153925	6	0.7564
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	16154201	16167780	6	0.0425
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	16167799	16171036	4	0.5098
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	16176764	17017078	358	-0.0929
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	17017530	17114712	37	0.6783
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	17177045	22977883	3824	-0.0805
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	22980614	22980686	2	-1.2886
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	22980764	35091674	6500	-0.097
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	35102654	35104491	20	-0.9297
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	35114268	62112763	16472	-0.0792
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	62113102	62118187	5	-1.1287
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	62119809	67991110	4334	-0.0745
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	67992082	67992868	2	-1.6524
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	67993077	72750353	3033	-0.089
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	72756113	72763370	9	-1.5272
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	72768418	72811148	48	1.0039
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	72811904	76516185	2277	-0.1152
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	76517539	76517556	2	-1.7108
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	76518108	77128618	490	-0.1271
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	77130230	77130322	2	-0.9442
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	77131620	77171575	33	-0.0875
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D03_781822	1	77181163	77187246	10	0.205
