Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	61735	86341	15	0.8156
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	98588	16814994	8678	-0.0213
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	16815530	16970456	54	-0.5442
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	17005734	25583341	5379	0.0129
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	25593128	25646986	28	-1.8308
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	25661501	39132430	7174	0.0084
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	39132431	39132432	2	2.6559
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	39132433	72756113	21637	0.0198
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	72756142	72822505	65	0.443
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	72822797	95130824	14440	0.0065
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	95131518	95135155	12	0.865
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	95135359	104902360	5975	-0.0044
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	104902499	104919441	2	-2.5493
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	104929293	106019205	577	-0.0316
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	106019236	106022360	15	0.9944
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	106022375	152555527	12693	0.0086
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	152555706	152586594	35	1.4511
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	152590494	243048740	61892	0.0017
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	243049874	243142309	79	-0.4025
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	1	243145593	249224388	3770	0.0083
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	2	12784	4205687	2985	-0.0506
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	2	4213864	4224019	42	-0.7867
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	2	4230062	52754468	34129	-0.0071
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	2	52754480	52781542	39	-2.7604
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	2	52787949	119053440	36399	-0.0013
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	2	119055540	120031698	721	-0.8315
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	2	120032176	243089456	75552	-0.0088
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	3	60345	5115389	4545	0.0188
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	3	5120506	5122629	2	-2.4159
EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_G02_585222	3	5123465	26598888	15497	-3e-04
