Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	61735	17190862	8831	-0.0881
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	17195155	17262247	61	-0.5987
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	17276241	17531582	184	-0.0051
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	17534310	17542448	7	-1.0206
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	17546590	30724627	7498	-0.0772
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	30726574	30739796	17	-1.0595
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	30741496	39132430	4777	-0.094
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	39132431	39132433	3	1.5189
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	39132462	72768916	21671	-0.0997
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	72768936	72811904	46	-1.6708
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	72812440	81598364	5566	-0.1489
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	81598723	81639709	27	-0.6528
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	81640420	89475255	5388	-0.122
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	89477958	89478205	2	-3.2419
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	89481524	92151953	1727	-0.1306
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	92152320	92174737	26	-0.6822
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	92177062	95151813	1773	-0.0994
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	95152409	95152850	7	-1.1333
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	95155385	98609553	2138	-0.1213
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	98615849	98618086	4	1.2366
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	98618324	102829724	2800	-0.1375
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	102829797	102830007	5	-1.4269
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	102830022	102830492	3	-0.3692
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	102830689	102836766	11	0.4034
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	102837545	104159384	617	-0.1748
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	104163499	104178038	3	-1.8956
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	104221531	106013376	944	-0.1879
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	106019205	106022375	17	-2.0949
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	106024055	110233118	2674	-0.1365
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	110233262	110242953	14	-0.9621
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	110244998	111383225	866	-0.088
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	111383334	111383972	11	0.6756
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	111388184	112696273	1082	-0.1125
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	112696308	112706205	32	0.6195
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	112706213	144008631	5179	-0.0991
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	144013594	146783569	665	0.4619
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	146790963	146792401	3	-0.9592
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	146792994	152560541	2192	0.5312
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	152560868	152586594	26	0.0398
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	152590494	152759678	171	0.5192
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	152761923	152768700	37	1.2928
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	152773905	169216937	11351	0.5229
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	169233974	169241766	7	1.7878
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	169242401	189336812	13261	0.5075
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	189337345	189449007	66	0.8077
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	189452721	195642916	4165	0.4904
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	195644629	195647048	2	-1.3648
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	195649242	196698272	704	0.5034
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	196698299	196790621	82	0.9073
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	196790736	196798643	8	0.1395
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	196798664	196812507	22	1.0453
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	196812530	208445720	7438	0.5254
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	208445800	208456937	28	1.1972
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	208457709	213004455	3316	0.5296
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	213005012	213010436	7	-1.4969
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	213014453	240391740	19249	0.5164
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	240394015	240394124	5	-0.733
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	240394139	248605752	5719	0.5084
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	248610056	248621397	4	-0.9805
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	248622152	248660552	14	0.2905
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	248683400	248860943	86	0.872
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	1	248865557	249224388	111	0.5241
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	12784	3151657	2184	-0.1485
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	3152441	3153149	4	-2.0243
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	3153495	3179876	27	-0.0531
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	3179893	3196726	13	-0.7556
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	3196877	4240306	814	-0.1037
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	4242383	4242870	5	-1.4851
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	4244466	4913984	565	-0.1617
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	4914073	4917317	11	-1.0765
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	4917612	5880342	685	-0.1807
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	5881184	5902605	18	-0.7996
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	5904119	8101337	1942	-0.1606
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	8102115	8104323	5	-1.4863
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	8104594	24597037	11668	-0.1216
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	24597228	24613559	27	0.3818
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	24615607	34699315	6151	-0.125
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	34701394	34727785	41	0.6771
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	34727851	35968036	881	-0.1275
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	35975973	35987947	8	1.0276
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	35997473	52754881	12164	-0.1364
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_H02_568842	2	52758753	52794142	43	0.3924
