Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	61735	3176460	734	-0.0631
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	3177480	12839576	5764	-0.5632
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	12841928	13797493	103	0.2414
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	13797711	16018983	1701	-0.5575
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	16020502	16080171	23	0.3853
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	16087824	16142960	39	-0.5924
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	16147032	16147392	5	0.914
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	16148537	16149343	5	-0.3994
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	16149915	16171036	17	0.8934
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	16176764	16797756	274	-0.5828
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	16803776	16830820	14	0.2531
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	16831863	16943822	25	-0.6966
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	16953771	17011669	28	0.1805
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	17011778	17012456	7	-1.1199
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	17012741	17190862	49	0.1086
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	17195155	22338125	3402	-0.545
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	22342389	22431777	58	0.1079
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	22435147	25415682	1724	-0.5505
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	25416761	25465850	68	0.0454
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	25465981	25583341	53	-0.4364
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	25593128	25611120	13	-1.9174
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	25616296	25645658	9	-0.8804
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	25646184	25662212	8	-0.7615
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	25663310	25685844	11	0.3003
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	25687199	26804477	532	-0.5683
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	26805583	26844925	14	0.5222
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	26845303	28420536	618	-0.5376
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	28420904	28421153	2	1.802
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	28424840	35083065	3755	-0.5449
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	35087725	35115542	30	0.3635
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	35116561	46363880	6219	-0.548
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	46369494	46605456	124	-0.0336
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	46608508	58579499	7503	-0.555
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	58582202	58584486	4	-3.5167
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	58584568	63568858	3538	-0.5382
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	63571352	63573391	5	-4.0173
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	63574207	64356438	509	-0.5721
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	64356558	64359353	3	-5.0513
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	64361145	66504959	1660	-0.5693
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	66506701	66506983	2	-6.1847
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	66507087	66954531	337	-0.6201
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	66955499	66965475	17	-2.7814
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	66966109	69886314	1928	-0.5715
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	69886702	69899166	9	-5.4064
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	69899201	71942516	1301	-0.5111
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	71947986	71951755	2	-6.3833
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	71951950	71998276	22	-1.2929
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	71998807	72022230	27	-4.3542
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	72024819	72759212	440	-0.7893
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	72759509	72811148	53	0.635
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	72811904	73158426	241	-0.6838
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	73158443	73178915	19	-2.4697
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_E08_569026	1	73178930	74223744	570	-0.6043
