Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	61735	98602	17	-0.831
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	228706	8202993	4046	0.0312
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	8206130	8209130	5	0.862
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	8209321	9335745	620	0.053
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	9339205	9341890	2	-1.3441
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	9343769	16851514	4015	0.0367
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	16869363	17005978	46	-0.3329
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	17011450	17045761	32	0.321
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	17048196	35091674	10343	0.0419
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	35102654	35104491	20	-0.6757
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	35114268	72768916	23853	0.0486
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	72768936	72811148	45	-0.9555
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	72811904	106013376	21016	0.0547
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	106019205	106022375	17	-1.4777
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	106024055	108762012	1957	0.0725
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	108762426	108817179	4	0.9415
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	108828957	110226378	698	0.0315
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	110226487	110240178	24	-0.3386
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	110242953	111376220	839	0.0314
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	111377368	111388226	39	-0.5296
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	111392067	145180842	6522	0.0509
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	145181734	145372563	37	-0.3559
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	145382124	152555527	2571	0.0389
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	152555706	152590750	39	-0.4383
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	152590962	196812507	29829	0.0682
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	196812530	196815791	2	-2.8838
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_C02_777008	1	196816730	229811169	21862	0.0678
