Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	61735	25583341	14144	-0.0886
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	25593128	25646946	27	-1.5732
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	25646986	72763370	28839	-0.0808
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	72768418	72811904	49	-0.9332
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	72812440	104155802	20062	-0.0927
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	104157161	104159384	6	-0.9085
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	104163499	106019483	950	-0.114
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	106021204	106022344	10	-0.7932
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	106022360	110227396	2669	-0.0939
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	110227500	110242953	20	0.3984
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	110244998	152761923	10218	-0.0704
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	152761939	152767947	29	0.6003
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	152767963	174796556	14861	-0.0826
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	174796699	174801920	18	-0.7394
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	174802007	196732086	14653	-0.0923
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	196738623	196759288	37	-0.7253
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	196761820	196798705	33	-0.1873
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	196798719	196801655	13	-0.6526
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	196801784	199107702	1387	-0.0775
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	199111363	199112524	7	-0.9975
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	199113011	222366668	16043	-0.0858
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	222374834	222377004	2	-2.5539
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	222382134	226014342	2190	-0.0846
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	226014464	226015017	2	-2.4458
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	226015116	242709511	12197	-0.0906
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	242709793	242710816	3	-1.454
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	242712897	248725234	3926	-0.0876
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	248736075	248809369	40	0.2559
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	1	248818483	249224388	140	-0.0929
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	12784	295136	180	0.0144
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	295255	296852	4	-1.0335
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	300879	4222159	2834	-0.003
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	4222432	4223167	6	-0.8339
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	4223512	7023052	2335	0.0059
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	7024874	7024914	2	-2.9844
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	7025082	11783967	3484	0.0415
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	11786634	11786832	2	-1.3615
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	11787239	14703694	2194	0.0378
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	14704949	14710021	11	-0.934
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	14710092	20350783	4222	0.0271
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	20350877	20350892	2	-1.511
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	20351003	20817493	290	0.0547
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	20817673	20817812	3	-1.1388
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	20823219	41238505	13403	0.0426
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	41238589	41251265	23	-0.3769
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	41251278	52754468	8192	0.0404
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	52754480	52781542	39	-2.1485
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	52787949	89469550	22830	0.0335
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	89473684	89551194	24	-0.4015
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	89553239	90001943	28	0.1206
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	90011138	90045248	20	0.6563
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	90046422	129638478	20204	0.037
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A12_808598	2	129638502	129640315	14	-0.615
