Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	61735	718663	37	-0.1153
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	723317	17525291	8990	-0.5405
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	17526624	17526654	2	-2.6548
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	17529311	25583341	5066	-0.5274
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	25593128	25646689	25	-1.6108
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	25646744	41039049	8145	-0.5171
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	41039758	55305457	8016	-0.0014
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	55307580	55307895	3	-1.2436
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	55308237	72768498	12618	-0.0173
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	72768916	72811133	45	0.9738
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	72811148	104163787	20072	-0.0182
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	104178038	104260032	22	-0.4716
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	104260239	110232974	3608	-0.0143
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	110233037	110234628	10	1.1948
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	110235032	110329003	70	0.0506
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	110329674	110329825	2	-1.5221
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	110329868	112690326	1886	-0.0069
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	112695965	112706062	28	0.3467
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	112706082	144949070	5307	-0.014
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	144949975	145079996	47	-0.2416
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	145080051	152756410	2871	0.0165
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	152756538	152778526	46	0.4325
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	152778558	196812507	29611	-0.0196
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	196812530	196815791	2	2.3444
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	196816730	215491496	12542	-0.0143
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	215493469	215499104	7	-0.794
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	1	215501031	249224388	23364	-0.0138
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	12784	4205687	2989	0.1255
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	4213864	4224019	42	-0.158
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	4230062	30061083	17988	0.1335
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	30061477	36420771	4360	-0.5308
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	36421101	36421823	2	-2.5579
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	36422622	52754468	11764	-0.5459
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	52754480	52781542	39	-2.2241
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	52787949	55799991	2253	-0.5249
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	55804281	66089393	6293	0.1275
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	66093051	66293382	194	-0.5244
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	66293425	66293445	2	-2.2629
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	66293906	67106347	547	-0.5527
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	67109728	85332445	11669	0.1305
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	85332460	85333406	2	-1.2852
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	85333976	98154265	3110	0.1245
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	98157272	98161710	3	-1.1641
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	98162189	106386865	5151	0.1378
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	106388912	106391338	6	-0.9803
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	106391913	106866500	408	0.1106
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	106866623	106885013	22	-0.2485
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	106885357	123477014	9546	0.1343
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	123479899	123482241	9	-0.5105
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	123483653	133038729	5508	0.133
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	133046772	133117260	29	0.5581
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	133121946	146864443	8842	0.1259
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	146864457	146866934	21	0.6661
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	2	146877806	243089456	59116	0.1351
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	60345	9359721	8238	0.348
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	9360211	9368125	10	-0.2055
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	9371404	43588177	23061	0.3408
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	43596273	46831837	1949	-0.019
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	46831961	46832050	4	-1.1806
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	46832081	68732028	14575	-0.0169
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	68746164	68747413	15	1.068
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	68748758	69378304	502	-0.0372
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	69385650	69553065	125	0.5615
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	69554214	125669048	31693	-0.0283
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	125673383	125675963	3	-1.497
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	125680500	128377084	1750	-0.0285
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	128380252	128399221	10	-1.4226
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	128405171	146474143	11132	-0.0263
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	146474323	146476483	3	-2.0278
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	146477052	162512739	9822	-0.0242
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	162513092	162615915	62	-1.6744
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	162623842	195429608	20694	-0.0196
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_G04_831400	3	195429701	195478694	37	0.448
