Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	61735	8174415	4055	-0.0881
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	8174814	8518552	183	-0.4284
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	8522553	16806925	4477	-0.0637
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	16807224	17262247	182	-0.361
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	17276241	25583291	5269	-0.0618
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	25583341	25662005	31	0.4354
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	25662212	32711360	3532	-0.0725
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	32711852	110232974	49055	-0.3848
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	110233037	110240178	16	0.5368
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	110242953	112696537	1962	-0.4052
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	112696553	112697390	17	0.1547
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	112705956	121447136	5181	-0.3732
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	121482979	144545755	49	-0.0418
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	144546946	144880417	24	-0.3673
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	144884249	148953996	1119	0.1592
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	149024802	149248712	129	-0.6242
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	149248727	149429206	36	-0.2802
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	149436842	149644969	12	0.1865
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	149645033	149835493	70	-0.1328
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	149844995	152575461	1440	0.1783
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	152579449	152579468	2	1.7794
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	152579621	196714873	29761	0.1541
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	196727850	196801655	87	-0.3836
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	196801784	241205433	30643	0.1529
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	241205611	241205674	2	1.6587
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	1	241208996	249224388	5305	0.1496
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	12784	98118212	61304	-0.0867
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	98140747	98162189	9	-1.1362
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	98166878	114362015	9428	-0.0799
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	114362414	114362416	2	-1.701
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	114380821	129637927	9605	-0.0894
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	129638078	129639236	14	0.5014
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	129640297	129784159	111	-0.1027
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	129784723	129785420	3	-1.5525
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	129789108	146864429	10365	-0.1094
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	146864443	146866934	22	0.7225
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	146877806	184085453	22860	-0.0787
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	184085788	184089724	9	-1.1764
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	184093998	185316676	839	-0.0875
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	185316880	185320059	4	1.128
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	185325519	242696254	35268	-0.0826
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	242718444	242783333	15	0.3936
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	2	242783396	243089456	143	-0.0118
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	60345	53023211	35782	0.0522
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	53028375	53039279	40	-0.4999
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	53039455	61127205	6120	0.0441
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	61127304	61168561	47	0.3545
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	61169455	98937784	21821	0.0426
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	98944458	98945299	14	-1.3647
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	98945395	98949056	13	-2.8817
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	98949069	98949301	8	-1.0234
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	98949308	107035798	4783	0.043
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	107036184	107039461	2	-1.7488
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	107043012	110012652	1823	0.0789
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	110014170	110578314	391	-0.2099
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	110578809	162540009	32114	0.0464
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	162540473	162540490	2	-2.069
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	162545716	174903892	7521	0.048
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	174909418	175261005	349	-0.392
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	175262419	182427687	4231	0.0486
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	182428328	192880473	7144	-0.3864
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	192880587	192882903	12	-1.0896
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	192886435	193482597	408	-0.363
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	3	193482796	197896118	2298	0.0614
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	4	12281	10210390	5804	-0.1524
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	4	10214160	10231498	29	-1.4831
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	4	10234214	34779040	16998	-0.1524
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	4	34779054	34829949	43	0.2182
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	4	34830004	45005755	6636	-0.1314
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	4	45005852	45006335	4	-1.7285
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	4	45010969	64691407	9928	-0.1481
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	4	64692059	64717026	34	0.2795
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_C07_808590	4	64718043	69244434	2852	-0.1552
