Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	61735	16851514	8677	-0.306
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	16869363	17225225	118	-0.6216
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	17225367	41364792	13666	-0.2979
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	41367298	70970795	19302	0.1217
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	70972133	70985173	5	-1.0732
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	70985675	72768916	1161	0.0976
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	72768936	72811148	45	-0.7848
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	72811904	77774872	3198	0.0987
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	77775014	77779836	21	-0.8964
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	77781670	110232974	20484	0.0963
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	110233037	110234628	10	1.0304
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	110235032	112690211	1958	0.1026
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	112690248	112697012	20	-0.3384
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	112697174	146547985	5682	0.1011
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	146548042	146552696	4	-1.4673
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	146556406	149040066	695	0.1063
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B10_777030	1	149041202	149203763	83	0.4755
