Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	61735	17017078	8781	-0.154
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	17017530	17089349	23	-0.9162
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	17093257	17203497	21	-0.3233
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	17209603	17277940	61	0.1718
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	17282425	17984449	468	-0.1673
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	17984756	17985109	2	-2.9005
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	17986490	25583341	4792	-0.154
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	25593128	25646946	27	-1.3677
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	25646986	26351382	316	-0.1427
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	26355640	29045123	1090	-0.8112
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	29047110	72763370	27383	-0.127
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	72768418	72811133	47	0.3278
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	72811148	89475255	10965	-0.1321
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	89477958	89478205	2	-2.495
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	89481524	104157336	9092	-0.122
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	104158309	104268222	30	-0.6619
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	104303403	110232974	3602	-0.1263
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	110233037	110246130	20	0.9497
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	110246273	111376220	833	-0.1593
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	111377368	111379555	16	-1.0902
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	111379573	111388226	23	-0.5294
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	111392067	210605721	48130	-0.1338
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	210605902	210605970	2	-2.5893
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	210606149	238466575	19256	-0.1369
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	238466832	238474115	14	-0.836
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	238474184	243044307	3607	-0.1309
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	243044970	243078263	55	-0.5081
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	1	243080405	249224388	3797	-0.1327
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	2	12784	4205687	2981	-0.189
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	2	4213864	4223167	36	-1.3546
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	2	4223512	27439751	16318	-0.173
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	2	27441397	27441500	2	-2.9556
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_A04_831468	2	27441904	34701394	4733	-0.1649
