Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	61735	98588	16	0.479
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	98602	17235698	8827	-0.0081
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	17235852	17262247	44	-0.3996
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	17276241	46510353	16612	-0.003
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	46512275	46513826	2	1.8611
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	46519553	65897951	12933	0.01
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	65898001	65906265	3	1.0337
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	65906762	72768916	4572	0.0026
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	72768936	72811148	45	-1.0161
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	72811904	75269284	1505	-0.0108
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	75271072	75273866	2	1.5811
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	75273987	81888456	4277	-0.0127
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	81888602	81888605	2	1.7836
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	81888667	145372550	25372	9e-04
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	145372563	148539268	869	0.445
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	148547792	148953996	48	0.1062
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	149024802	149387593	158	-0.4371
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	149415966	152555527	1497	0.3734
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	152555706	152586117	30	0.9797
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	152586238	152756774	172	0.3916
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	152756806	152778526	44	0.8508
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	152778558	174803056	14876	0.3793
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	174803606	174803711	4	1.5382
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	174803773	180748317	3948	0.3859
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	180750573	180753483	4	-0.6399
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	180755661	193155792	8289	0.3768
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	193156279	193156332	3	2.0184
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	193156348	195832664	1823	0.381
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	195836268	195836924	3	1.3966
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	195837030	196714873	576	0.3554
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	196727850	196732086	4	-1.5726
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	196738623	196847975	129	0.1504
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	196853350	215860609	12676	0.3803
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	215861233	215861681	6	1.0797
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	215861757	217166744	1027	0.3779
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	217166839	217166976	2	1.6974
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	217167592	221113051	2755	0.3621
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	221113623	221118500	4	-0.962
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	221118814	229811169	5371	0.3708
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	229816856	229821753	10	-0.2844
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	229821898	243326952	10307	0.3706
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	243327938	243336760	2	2.0275
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	243338216	248736075	3553	0.3774
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	248737447	248828236	44	-0.4181
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	1	248832254	249224388	135	0.4228
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	2	12784	52754468	37184	-0.0034
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	2	52754480	52781542	39	0.5776
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	2	52787949	127857046	42077	-0.0112
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	2	127857763	127857946	2	2.1314
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	2	127858646	135056484	4196	-0.0217
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	2	135056675	135056870	2	1.6475
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	2	135058257	138525505	2188	-0.0208
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	2	138525987	138526002	2	1.2753
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B06_831354	2	138532033	138641816	66	0.084
