Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	61735	72776	8	0.2294
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	82170	228706	10	-0.6842
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	228729	14496905	7196	0.0449
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	14497557	15109860	474	-0.7706
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	15111137	16149288	730	0.0727
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	16149343	16153925	8	0.7791
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	16154201	17012422	360	0.0684
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	17012456	17262232	110	-0.2386
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	17262247	22603889	3550	0.0747
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	22605023	22615740	5	-0.8642
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	22615804	25583341	1720	0.1082
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	25593128	25646946	27	-1.7923
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	25646986	35091674	4971	0.073
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	35102654	35114268	21	-0.6064
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	35115542	39070486	2158	0.0609
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	39070541	39070561	2	-1.7941
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	39070859	59809288	12732	0.0746
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	59816097	60143092	200	-0.6185
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	60143300	62113102	1396	0.1076
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	62114006	62119809	5	-0.6577
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	62119978	63562762	1033	0.0946
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	63564010	63578254	18	-0.8086
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	63580778	72750353	6321	0.0833
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	72756113	72763370	9	-0.8671
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	72768418	72811148	48	1.0187
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	72811904	100740472	18024	0.0746
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	100744260	100744420	2	-0.9745
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	100744798	106019205	3022	0.0539
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	106019236	106022375	16	-2.0556
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	106024055	108766355	1965	0.0554
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	108769302	108817179	2	-3.6157
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	108828957	110232974	706	0.1315
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	110233037	110242953	17	0.7819
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	110244998	112690326	1957	0.0789
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	112695965	112697213	22	-1.7907
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	112697241	152555176	8046	0.081
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	152555527	152590494	37	0.4685
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	152590565	169216937	11557	0.077
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	169233974	169241766	7	-2.0279
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	169242401	172051190	1937	0.0777
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	172051932	172340516	196	-0.6196
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	172342199	189258813	11072	0.0774
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	189258909	189292794	22	-0.6774
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	189303014	189648157	236	0.0591
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	189648483	189648527	2	-2.1472
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	189652047	194448234	3291	0.0851
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	194451411	194455018	2	1.5313
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	194457016	196714873	1454	0.0895
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	196727850	196749217	27	-2.0618
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	196749821	196815791	69	-1.0102
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	196816730	199111363	1380	0.0777
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	199111426	199112524	6	0.839
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	199113011	215855994	11335	0.0793
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	215858193	215862105	14	-1.0531
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	215866009	243047556	19378	0.0669
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	243048740	243134707	75	-0.2122
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	243135255	248660552	3585	0.0681
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	248683400	248809369	57	0.32
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	1	248818483	249224388	140	0.0088
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	2	12784	7611683	5902	0.0133
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	2	7611696	7611948	2	-1.2913
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	2	7612038	34691069	18220	0.0737
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	2	34699315	34737057	46	0.7434
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	2	34737163	35975973	878	0.0602
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	2	35977790	35987916	6	-1.3117
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	2	35987947	52754468	12171	0.0822
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	2	52754480	52781542	39	0.7416
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_A10_781806	2	52787949	77633146	16115	0.0686
