Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	61735	17012226	8776	-0.0779
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	17012314	17283075	117	-0.3722
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	17284920	24519178	4569	-0.061
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	24520583	24524992	2	-1.2163
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	24525996	25582679	688	-0.056
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	25582843	25663310	35	0.4901
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	25663344	72750353	28811	-0.0522
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	72756113	72762676	8	-0.653
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	72763370	104113158	20096	-0.0441
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	104113224	104303403	51	0.2692
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	104303501	108729284	2877	-0.0628
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	108729759	108737496	4	-1.1184
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	108739104	110227515	722	-0.0435
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	110232974	110242953	18	0.7882
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	110244998	112690326	1950	-0.0732
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_B09_831356	1	112695965	112697390	25	0.4692
