Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	61735	35091674	19124	0.1123
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	35102654	35104491	20	-0.566
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	35114268	82127380	29906	0.1522
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	82127429	92060065	6593	-0.4007
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	92061445	110233327	11077	0.1666
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	110233571	110240155	10	-0.7324
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	110240178	111376220	841	0.1419
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	111377368	111388226	39	-0.4193
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	111392067	148585337	7432	0.148
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	148627569	148627842	3	-1.4591
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	148636769	152555527	1692	0.0983
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	152555706	152586540	33	2.2897
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	152586576	152759678	173	0.1362
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	152761923	152776755	39	0.4993
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	152778443	196711187	29524	0.1528
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	196714822	196801850	92	-0.2241
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	196801987	208440902	7431	0.1379
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	208445720	208458173	32	0.6531
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	208459091	248725234	28266	0.1563
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	248736075	248805339	36	-0.4413
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	1	248808557	249224388	143	0.2035
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	2	12784	34685280	23978	-0.4182
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_B12_777132	2	34691069	34737163	48	-1.445
