Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	61735	6027733	2814	-0.056
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	6029937	6031944	2	-1.3918
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	6033868	17005978	5945	0.0067
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	17011450	17082591	39	-0.49
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	17087292	17190004	20	0.0695
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	17190862	17284920	67	-0.3781
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	17286210	22301569	3338	0.0116
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	22309874	22330539	9	-0.8272
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	22337243	30724627	4330	0.0178
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	30726574	30747576	22	-0.5018
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	30749660	69886702	24601	0.0263
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	69886892	69891657	7	-0.6371
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	69899166	72768916	1825	0.0402
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	72768936	72811148	45	1.0593
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	72811904	72820027	8	0.0218
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	72822505	72822836	4	-1.0658
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	72827978	103690449	19961	0.0216
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_C01_781930	1	103696944	104067454	81	0.3004
