Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	61735	16153497	8405	-0.162
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	16153536	16153925	5	-2.7354
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	16154201	16896821	310	-0.1402
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	16903726	16970311	33	0.5325
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	16970359	17247727	97	0.0214
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	17247845	17258139	14	-0.9629
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	17258501	22319001	3361	-0.1381
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	22320515	22330539	6	-1.679
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	22337243	72768916	30788	-0.1447
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	72768936	72811148	45	-1.5339
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	72811904	92193264	12749	-0.1761
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	92193662	92195652	2	-2.5378
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	92196053	104221647	7335	-0.1749
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	104221812	104225568	8	-1.7475
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	104239689	110227515	3618	-0.1905
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	110232974	110236947	14	-1.5198
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	110239522	116802731	4624	-0.1489
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	116804492	116813032	21	0.801
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	116813337	152555527	5380	-0.1249
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	152555706	152586594	34	2.7988
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	152590494	169216937	11543	-0.1459
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	169233974	169241766	7	1.1624
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	169242401	196714822	18201	-0.1711
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	196714873	196732086	5	-1.8799
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	196738623	228627913	21212	-0.1519
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	228628574	228660479	19	-0.7447
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	228660521	243134707	11023	-0.1752
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	243135255	243268406	21	0.4893
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	1	243268959	249224388	3758	-0.1596
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	12784	4213864	2982	-0.2584
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	4214200	4223725	39	0.52
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	4223833	4230062	3	-3.2623
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	4234782	7968327	3111	-0.2319
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	7968820	7968902	2	-2.7777
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	7968977	14313160	4546	-0.1301
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	14316914	14317098	3	-2.043
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	14318946	24606954	7238	-0.1529
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	24606982	24611128	14	-0.9097
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	24611727	34691069	6148	-0.1153
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_C03_569108	2	34699315	34737057	46	-2.4265
