Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	61735	1647494	232	-0.3134
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	1647890	1663396	7	0.8828
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	1663831	16803776	8446	-0.3659
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	16804341	16970178	56	-1.0019
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	16970311	17017078	25	-0.4212
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	17017530	17048479	17	-1.5645
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	17056457	17262247	86	-0.7399
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	17276241	25583341	5261	-0.3645
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	25593128	25611452	14	-1.3734
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	25616296	44999954	10575	-0.3629
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	45000432	45000436	2	-2.6601
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	45003255	46510353	746	-0.3472
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	46512275	46513826	2	2.1194
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	46519553	65745607	12823	-0.3587
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	65745731	65745919	2	-2.5599
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	65745943	72763370	4669	-0.3386
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	72768418	72811148	48	0.9952
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	72811904	74796526	1165	-0.3243
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	74798868	74799577	3	1.3586
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	74800033	75164796	256	-0.3495
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	75165182	75168033	3	-1.8803
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	75168226	86223922	7334	-0.363
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	86225169	86571562	274	-0.8626
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	86572936	110227515	14651	-0.3571
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	110232974	110240178	17	0.736
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	110242953	144896444	7246	-0.3502
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	144896998	144902911	13	0.9597
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	144904397	145280322	158	0.1065
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	145287545	149254920	1059	0.5981
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	149256691	149769972	67	0.0622
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	149771890	152756774	1665	0.6208
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	152756806	152776755	42	1.1093
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	152778443	174796405	14867	0.6212
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	174796556	174801840	16	-1.5556
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	174801854	194448234	13206	0.6177
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	194451411	194455018	2	-1.72
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	194457016	196714873	1452	0.6357
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	196727850	196798664	73	0.167
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	196798705	226004562	19642	0.6151
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	226006098	226007490	2	2.738
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	226008101	229811169	2265	0.5971
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	229816856	229820196	3	-2.7612
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	229820456	229821898	8	-0.3097
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	229822051	243055819	10203	0.6137
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	243055852	243272648	85	0.3156
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	243274530	248610056	3541	0.6103
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	248610507	248637264	10	-0.6998
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	248638626	248709670	21	0.5539
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	248713868	248725234	3	-0.6166
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	1	248736075	249224388	180	0.6959
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	2	12784	18338000	13716	-0.0249
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	2	18338029	18338677	2	-2.4021
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	2	18339531	34685280	10375	-0.0213
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A04_808610	2	34691069	34740799	53	0.5247
