Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	61735	404171	30	0.4298
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	534551	12845863	6498	-0.2012
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	12852748	13384168	55	-0.6036
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	13384254	17056457	2226	-0.2091
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	17076467	17177045	20	-0.527
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	17177965	17276241	66	0.163
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	17277940	25605058	5278	-0.1812
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	25611120	25611452	2	-1.7377
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	25616296	37845240	6461	-0.1916
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	37848793	37930294	52	-0.4373
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	37932288	49791480	6832	-0.1881
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	49793706	49878809	42	-0.5155
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	49879904	72750353	15455	-0.1952
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	72756113	72763370	9	-1.265
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	72768418	72811904	49	0.4101
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	72812440	84127092	7300	-0.2052
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	84132014	84225532	80	-0.536
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	84225938	106013376	13643	-0.1919
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_A11_808672	1	106019205	106022375	17	0.2914
