Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	61735	761368	48	0.0517
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	761732	765269	3	-1.6047
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	768793	15309522	7805	0.0345
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	15309861	15309901	2	-1.4364
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	15312596	16149915	564	0.0577
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	16153497	16153925	6	-2.0467
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	16154201	16851514	304	0.0204
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	16869363	17017078	64	0.2244
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	17017530	17114712	37	0.5761
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	17177045	25583291	5340	0.0391
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	25583341	25662212	32	0.7455
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	25663310	70889476	27611	0.0351
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	70892915	70919676	29	-0.476
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	70920737	70998786	82	-0.1158
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	70999657	71002687	5	-2.5226
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	71002746	73605805	1665	-0.0278
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	73613006	73616709	11	-0.9584
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	73624618	106013376	20551	0.005
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	106019205	106022375	17	0.6598
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	106024055	110221727	2657	0.0156
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	110224384	110227515	15	0.5431
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	110232974	110242953	18	1.6591
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	110244998	149242663	8478	0.0311
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	149242725	149254920	21	0.5123
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	149256691	152555527	1531	0.0332
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	152555706	152586594	35	1.1635
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	152590494	158866573	3833	0.0124
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	158868501	158869759	2	-1.3526
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	158874818	159927798	712	0.0021
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	159928059	159928711	2	-1.049
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	159931139	160412994	302	0.0184
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	160413090	160414043	2	-0.8835
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	160415924	161458593	612	0.0039
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	161463019	161463331	2	-0.9653
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	161463498	163212723	1397	0.0383
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	163216918	163217668	2	-1.398
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	163219889	169216937	4692	0.0282
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	169233974	169241766	7	1.1449
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	169242401	183814922	9711	0.0262
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	183816266	184802894	677	-0.5741
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	184807028	184807512	2	-1.9105
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	184809353	186983812	1331	-0.5665
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	186986891	190993978	2698	-5e-04
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	190994739	194543283	2381	-0.5745
SONGS_p_TCGAb36_SNP_N_GenomeWideSNP_6_G09_585440	1	194546767	194938226	215	0.0066
