Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	61735	625470	34	0.3065
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	707099	25583341	14054	-0.5318
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	25593128	25646689	25	-1.8643
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	25646744	25646986	3	-1.1051
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	25661501	30726875	2381	-0.5038
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	30731522	30738534	10	-1.5591
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	30739299	30739796	3	-6.2063
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	30741496	46398959	8820	-0.5139
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	46400821	46427878	24	-0.0233
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	46437763	49157928	1665	-0.4427
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	49158535	49162396	4	-1.3953
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	49164608	50816576	837	-0.4684
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	50817553	50817701	2	-2.4806
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	50818087	51259041	195	-0.4542
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	51261588	51391824	56	-0.1976
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	51392061	62114006	7399	-0.4759
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	62114181	62118187	3	-2.9392
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	62119809	72768916	7370	-0.4206
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	72768936	72811904	46	-1.4978
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	72812440	106013376	20998	-0.4409
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	106019205	106024070	19	0.332
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	106024090	110227515	2667	-0.4323
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	110232974	110242953	18	-1.0597
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	110244998	110250235	7	0.3301
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	110250236	111348029	808	-0.4811
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	111353290	111393297	64	-0.1395
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	111393396	111909556	432	-0.4596
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	111913523	111914431	2	-2.6994
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	111920625	112690326	638	-0.4993
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	112695965	112697390	25	-1.2625
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	112705956	119647946	4378	-0.4516
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	119657824	152551325	3646	0.3187
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	152551464	152586117	39	0.7022
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	152586238	153718220	856	0.3184
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	153718472	153718746	2	-0.837
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	153725210	159927798	3694	0.3054
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	159928059	159928711	2	-0.9217
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	159931139	189547638	20404	0.3104
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	189549597	189552871	6	-1.1648
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	189554067	196698272	4804	0.3211
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	196698299	196884185	170	0.5595
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	196885685	210071062	8767	0.313
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	210081613	210082065	2	-1.5178
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	210083984	220933100	7556	0.3132
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	220936372	220953310	17	-0.205
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	220953777	229811169	5496	0.2893
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	229816856	229820196	3	-3.4491
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	229820456	229821211	6	-0.3673
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_D04_781908	1	229821753	231780909	1405	0.2963
