Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	61735	762118	50	0.171
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	765269	768793	2	-2.2233
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	777122	2926555	574	-0.0147
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	2931327	2932222	2	-1.4533
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	2932446	12892309	5921	-0.0372
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	12892508	17182437	2268	-0.5969
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	17190004	17262232	62	0.0306
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	17262247	25604466	5271	-0.5988
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	25605058	25611452	3	-2.2114
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	25616296	33633643	3906	-0.5927
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	33635162	72768916	24906	-0.0683
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	72768936	72811904	46	-1.0129
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	72812440	76050844	1930	-0.1812
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	76054763	76054854	2	-2.2673
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	76059509	95424669	12793	-0.1504
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	95426247	95426365	2	-1.1433
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	95427608	106019205	6274	-0.1698
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	106019236	106022375	16	0.4398
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	106024055	110226378	2665	-0.142
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	110226487	110240178	24	0.6067
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	110242953	111376220	839	-0.126
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	111377368	111388184	38	-0.6345
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	111388226	111401322	19	-0.1958
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	111401497	111401692	2	-1.4623
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	111401704	112690326	1057	-0.1436
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	112695965	112697390	25	0.4799
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	112705956	144542773	5232	-0.0691
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	144545755	144868360	13	0.5079
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	144869084	152555527	2791	-0.0489
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	152555706	152586594	35	2.1743
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	152590494	152759678	170	-0.1288
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	152761923	152768700	37	0.5447
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	152773905	169216937	11313	-0.0749
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	169233974	169254877	9	0.6329
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	169255402	189648157	13434	-0.098
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	189648483	189652047	3	-1.2518
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	189654576	196714873	4737	-0.1454
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	196727850	196732086	4	-2.5329
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	196738623	196812507	90	-0.4733
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	196812530	196815791	2	2.3298
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	196816730	198304536	820	-0.1344
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	198306860	198307779	3	-1.9038
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	198311359	199275263	673	-0.1676
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	199275310	199277505	3	-1.2847
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	199277598	223630432	16623	-0.0957
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	223630617	223630758	2	-1.4681
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	223631164	224732498	651	-0.0527
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	224732900	224733066	3	-0.9204
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	1	224737774	249224388	17119	-0.0941
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	2	12784	1231315	822	-0.1126
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	2	1231592	1238659	4	-2.0103
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	2	1244964	34691069	23258	-0.105
GRITH_p_TCGAb46and77_SNP_N_GenomeWideSNP_6_G04_730162	2	34699315	34738032	49	0.1704
