Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	61735	98588	16	-1.0405
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	98602	2061969	365	-0.1254
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	2069681	2074104	3	-1.2919
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	2075068	14104818	6452	-0.071
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	14105298	14109114	3	-1.6956
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	14112749	16405611	1683	-0.0678
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	16407320	16408804	2	1.2874
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	16413265	16869363	201	-0.0352
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	16871278	17005776	44	-0.4522
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	17005978	17012422	11	0.0209
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	17012456	17056457	26	-0.4356
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	17076467	17114712	19	0.028
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	17177045	17298496	77	-0.461
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	17299727	36867234	11066	-0.0471
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	36872665	36873249	3	-1.1049
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	36873318	37898668	709	-0.0702
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	37900173	37900415	2	-1.3846
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	37902135	72768916	22372	-0.0558
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	72768936	72811148	45	1.0174
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	72811904	75269284	1506	-0.0556
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	75271072	75273866	2	-1.3586
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	75273987	106019205	19537	-0.062
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	106019236	106022375	16	-2.2391
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	106024055	110232974	2673	-0.0535
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	110233037	110242953	17	0.8283
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	110244998	112690326	1958	-0.0548
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	112695965	112705956	26	0.2713
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	112706060	149242663	6491	-0.0638
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	149242725	149249447	19	0.7001
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	149254329	150800761	559	-0.0488
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	150801002	150811028	8	-0.8178
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	150811261	151372047	242	-0.0225
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	151372138	151372770	2	-1.0024
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	151373200	152555706	720	-0.0529
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	152555767	152586238	30	0.4157
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	152586278	152759678	175	-0.0675
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	152761923	152768700	37	0.5197
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	152773905	161508791	5280	-0.0483
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	161508875	161638513	48	-0.4549
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	161648237	193155792	21829	-0.063
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	193156279	193156348	4	1.0625
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	193159723	196714873	2403	-0.0647
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	196727850	196738623	5	1.0694
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	196738636	196798719	70	0.4201
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	196798823	196799699	5	0.8069
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	196799714	196802002	12	0.1631
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	196802072	210071062	8827	-0.0591
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	210081613	210086552	4	0.8464
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	210093494	228693055	12334	-0.0678
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	228699515	228702618	3	-1.3678
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	228703289	234656596	4534	-0.0644
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	234656884	234657673	4	-1.0575
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	234659807	240391740	4310	-0.0748
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	240394015	240394139	6	-1.355
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	240396105	243048740	2077	-0.0706
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	243049874	243078263	51	-0.3367
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	243080405	248709616	3620	-0.0567
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	248709670	248808864	42	-0.512
FOXED_p_TCGA_b122_128_SNP_N_GenomeWideSNP_6_B08_781886	1	248809109	248883814	46	-0.0496
