Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	61735	86341	15	0.7936
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	98588	13187370	6550	-0.1427
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	13214448	13376042	7	-1.5274
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	13376489	16147392	1829	-0.2302
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	16148537	16149343	5	-1.1476
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	16149915	16154966	10	0.9974
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	16155010	16844932	298	-0.1854
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	16846035	16851514	2	-2.1442
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	16869363	17045458	76	-0.2443
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	17045577	17260618	83	-0.6968
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	17261211	25583341	5269	-0.2018
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	25593128	25646744	26	-1.697
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	25646946	27362665	732	-0.2459
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	27365662	27369378	3	-1.8436
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	27372047	72750353	28111	0.0405
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	72756113	72763370	9	-0.8832
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	72768418	72810938	45	1.3211
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	72811076	106019205	21046	0.0642
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	106019236	106022375	16	-2.058
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	106024055	106035052	14	-0.7495
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	106035061	110232974	2658	0.0739
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	110233037	110234628	10	-1.3163
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	110235032	149024808	8368	0.069
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	149036524	149290775	137	-2.4644
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	149291599	149340200	9	-0.3448
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	149347527	149422108	12	-1.662
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	149422459	149645033	16	0.3337
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	149659890	149758041	22	-0.5507
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	149769972	152555706	1466	0.0715
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_E01_568976	1	152555767	152586238	30	-1.8924
