Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	61735	22298285	12230	-0.0596
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	22300465	22301198	2	-2.4748
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	22301476	22814289	330	-0.0511
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	22814354	23308725	342	0.5417
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	23309071	25574707	1253	-0.0291
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	25582629	25645184	27	0.4142
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	25645658	72740734	28857	-0.041
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	72746533	72811148	63	0.2665
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	72811904	76050844	1931	-0.0558
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	76054763	76054854	2	-2.4158
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	76059509	104178038	18164	-0.047
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	104221531	104268222	24	0.4227
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	104303403	106013376	920	-0.0706
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	106019205	106022375	17	-2.0056
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	106024055	110226743	2667	-0.0314
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	110226970	110240178	22	1.0654
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	110242953	149036524	8357	-0.0313
RARER_p_TCGA_MixedRedos_N_GenomeWideSNP_6_D07_747730	1	149040066	149436842	163	-0.7452
