Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	61735	750334	44	0.0603
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	752566	16943822	8668	-0.3929
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	16953771	17114634	78	0.2853
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	17114712	17247727	37	-0.4957
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	17247845	17253538	6	-2.4309
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	17257317	25583341	5284	-0.3643
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	25593128	25662005	29	-1.8019
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	25662212	30738355	2395	-0.3914
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	30738432	30739796	5	-4.896
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	30741496	35091674	2558	-0.3771
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	35102654	35115542	22	0.4617
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	35116561	44635476	5372	-0.3781
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	44636481	44637390	2	-2.5236
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	44647380	49409328	2778	-0.3121
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	49414844	49442023	18	-1.2707
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	49442392	64356438	9828	-0.2986
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	64356558	64359324	2	-3.2163
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	64359353	72750353	5803	-0.2746
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	72756113	72763370	9	-1.9731
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	72768418	72811148	48	0.8721
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	72811904	85974030	8610	-0.2949
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	85979932	86003166	12	0.9502
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	86006009	97732269	7540	-0.2972
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	97737474	98074133	205	-2.4874
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	98078045	104159384	3691	-0.2951
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	104163499	104261206	26	0.5494
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	104268222	110221727	3584	-0.2991
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	110224384	110250235	40	0.7086
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	110250236	111928394	1320	-0.3411
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	111929137	111933231	3	-5.0384
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	111935668	120527395	5688	-0.315
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	120540804	121129349	47	0.4431
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	121130963	121355881	78	-0.2801
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	121436219	144949070	131	0.765
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	144949975	145416056	161	1.0879
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	145416115	146479430	161	1.6493
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	146479610	149521846	909	1.2976
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	149545372	149645033	10	0.0284
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	149659890	152555767	1489	1.2392
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	152555795	152586238	28	2.191
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	152586278	152759678	175	1.2299
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	152761923	152768700	37	-0.1444
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	152773905	154113829	800	1.2572
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	154119286	155180466	545	0.5609
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	155189160	155197957	10	1.4521
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	155201064	163855085	5754	0.6275
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	163856646	164006818	79	0.1382
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	164009178	167764835	3035	0.6814
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	167766183	167766919	4	-2.0623
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	167768513	169216937	1113	0.6711
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	169233974	169238731	4	-2.7913
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	169238745	169242401	3	-0.2264
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	169254877	182070471	8480	0.6627
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	182070728	182071408	3	-0.9918
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	182074769	189648157	4982	0.6231
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_A06_569170	1	189648483	189648527	2	-3.3112
