Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	61735	229173	22	0.3085
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	229619	761368	26	-0.12
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	761732	768793	4	-1.3918
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	777122	2809490	519	-0.0703
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	2812911	2855159	21	-0.5813
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	2857439	7935915	3332	0.0659
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	7937568	25583341	10196	-0.4619
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	25593128	25645658	23	-1.8303
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	25646184	31621427	3008	-0.4724
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	31623667	31625346	2	-2.3402
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	31625389	39128601	4165	-0.4578
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	39132430	39132433	4	0.9914
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	39132462	49799321	6136	-0.4507
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	49800063	49940246	63	-1.1786
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	49944918	72768916	15437	-0.4415
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	72768936	72797412	27	-1.055
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	72798594	76516185	2290	-0.4811
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	76517539	76517556	2	-3.2616
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	76518108	104129270	17776	-0.4641
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	104130168	104303501	40	0.0383
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	104303639	105984692	900	-0.465
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	105996579	106045187	55	-0.0149
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	106045856	112690326	4616	-0.4535
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	112695965	112697188	20	-0.0591
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	112697198	112706082	9	0.5127
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	112706118	112706205	7	-0.0197
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	112706213	120527361	5034	-0.433
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	120527395	148953996	1321	0.4485
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	149024802	149256691	134	-0.2212
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	149259416	149386959	23	0.2949
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	149387593	149436842	8	-0.3572
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	149521840	152555795	1500	0.4697
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	152555884	152572493	15	0.9766
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	152572660	152586238	13	0.5445
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	152586278	152586576	3	-0.2941
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	152586594	152763069	191	0.4813
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	152767467	152768700	17	-0.0795
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	152773905	169216937	11344	0.4789
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	169233974	169241766	7	1.5781
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	169242401	174784468	3501	0.4688
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	174785010	174794481	11	-0.152
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	174794502	178669070	2573	0.469
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_H01_730374	1	178669112	178673348	13	1.0328
