Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	61735	229173	22	-0.2563
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	229619	16363940	8490	0.0186
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	16368133	16379416	6	-0.9678
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	16389566	25595881	5644	0.0196
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	25595947	25646986	26	0.6023
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	25661501	72763370	28843	0.014
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	72768418	72816755	51	-0.7395
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	72817021	83082955	6601	-0.0141
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	83083272	83385505	256	-0.315
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	83388916	89475255	4113	0.0155
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	89477958	89478205	2	-2.1505
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	89481524	106013376	10044	0.0033
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	106019205	106022375	17	0.699
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	106024055	110233118	2675	0.0115
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	110233262	110236947	10	-1.1508
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	110239522	111376220	843	0.0291
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	111377368	111383954	36	-0.8468
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	111383972	112690326	1079	0.0132
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	112695965	112697198	21	0.4573
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	112697213	152555176	8040	0.0142
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	152555527	152586594	36	0.5065
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	152590494	152761923	172	-0.0192
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	152761939	152768700	36	0.5484
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	152773905	169216937	11327	0.0109
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	169233974	169241766	7	-1.7769
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	169242401	208065184	25398	0.0136
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	208065610	208067651	2	-1.9319
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	208068579	222366668	10324	0.0075
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	222374834	222377004	2	-2.5773
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	222382134	238506666	11064	0.0048
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	238508989	238509373	2	-1.6883
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	238512614	248737447	7248	0.0035
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	248749194	248809369	38	-0.7432
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	1	248818483	249224388	140	0.0724
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	12784	4205687	2988	-0.0373
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	4213864	4224019	42	0.2767
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	4230062	6131459	1504	-0.0533
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	6131940	6132330	3	-1.6106
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	6136534	35975973	20488	-0.0258
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	35977790	35986716	4	-1.7091
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	35986908	52758753	12164	-0.0191
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	52758768	52781542	32	0.5724
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	52787949	57161155	3195	-0.0048
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	57161430	57194748	21	-0.7007
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	57195116	87128201	18779	-0.0256
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	87129203	87137385	2	-2.319
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	87161853	98118212	2073	-0.0433
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	98140747	98162189	9	-0.9958
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	98166878	130788760	19920	-0.0356
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	130788774	130874488	18	-0.5214
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	130874876	180061655	29883	-0.0262
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	180067192	180079144	3	-1.7345
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	180083591	208354955	16694	-0.013
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	208355178	208359336	16	-0.8335
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_E07_808596	2	208359476	243089456	22125	-0.0269
