Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	61735	718663	37	0.0582
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	723317	11862778	5955	-0.4058
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	11869896	11892365	18	0.279
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	11892513	13214448	554	-0.403
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	13375345	13377047	8	-1.2805
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	13384168	16149915	1828	-0.377
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	16153497	16167799	13	0.2246
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	16167855	16816090	288	-0.408
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	16819633	17012422	65	-0.071
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	17012456	17017078	8	-0.4596
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	17017530	17056457	18	-0.958
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	17076467	17276241	86	3e-04
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	17277940	25583341	5259	-0.3944
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	25593128	25662005	30	0.3286
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	25662212	31098423	2714	-0.3978
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	31100668	31101318	2	-1.7734
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	31102633	34216658	1559	-0.401
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	34217529	34221810	4	-1.657
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	34222304	48065338	7874	-0.3827
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	48071156	48071177	2	-2.7365
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	48071348	72768916	16647	-0.3624
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	72768936	72811148	45	-1.1775
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	72811904	108729759	22961	-0.3593
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	108734235	108737496	3	-2.5728
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	108739104	110224427	709	-0.3669
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	110225642	110227515	13	0.3253
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	110232974	110242953	18	1.3376
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	110244998	112690211	1946	-0.3914
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	112690248	112697213	24	0.0836
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	112697241	121355881	5177	-0.3639
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	121436219	121482979	3	0.9381
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	144007049	144842558	56	0.2215
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	144849539	144849552	3	1.4236
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	144865627	149548713	1304	0.3733
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	149548726	149617488	4	-0.5677
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	149644953	152762046	1692	0.3565
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	152762257	152768259	27	0.8016
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	152768281	158866573	3624	0.3538
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	158868501	158869759	2	1.66
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	158874818	169216937	7708	0.3733
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	169233974	169241766	7	1.2101
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	169242401	187715854	12218	0.3682
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	187717560	187721369	2	-1.4448
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	187724610	194448234	4523	0.3659
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	194451411	194455018	2	1.5091
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	194457016	223020504	19319	0.3705
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	223022923	223023769	3	-0.533
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	223026717	240391740	12221	0.3682
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	240394015	240394139	6	-1.6043
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	240396105	248736075	5752	0.3815
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	248737447	248809109	38	-0.3031
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	1	248809369	249224388	141	0.3577
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	2	12784	4205687	2986	0.057
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	2	4213864	4223167	36	-1.413
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	2	4223512	34691069	21070	0.0575
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	2	34699315	34737057	46	-1.2854
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	2	34737163	35975973	878	0.0556
SERVO_p_TCGA_157_158_159_SNP_N_GenomeWideSNP_6_E02_831338	2	35977790	35987916	6	-1.0731
