Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	61735	12892508	6561	0.0493
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	12909977	13182599	13	0.7547
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	13185738	13444682	21	0.0688
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	13444908	13468022	4	-1.3694
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	13471704	16149003	1818	0.0429
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	16149067	16167799	17	0.4591
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	16167855	17005734	341	0.0521
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	17005776	17261211	116	0.3037
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	17261248	64703426	28587	0.0509
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	64704921	64704928	2	-1.3237
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	64707243	72768916	5571	-0.0189
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	72768936	72811148	45	-0.9195
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	72811904	104225568	20102	-0.0149
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	104239689	104268222	13	-0.4809
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	104303403	106013376	919	0.0324
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	106019205	106024090	20	0.4957
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	106024137	108729759	1940	0.0436
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	108734235	108737496	3	-0.748
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	108739104	110232974	726	0.0676
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	110233037	110240178	16	-0.8207
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	110242953	149545386	8527	0.0662
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	149548713	149617451	4	1.0609
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	149617488	149659890	5	0.2316
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	149664041	149834455	60	-0.15
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	149834470	152756774	1626	0.0643
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	152756806	152773905	41	0.5321
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	152776755	160535596	4724	0.0649
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	160535846	160537203	2	-1.121
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	160537558	161508875	551	0.0841
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	161517939	161638201	46	-0.3247
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	161638480	169216937	6016	0.0611
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	169233974	169242401	8	0.7164
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	169254877	190369969	14002	0.0633
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	190371302	190371428	2	-1.08
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	190375777	196758120	4230	0.062
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	196758149	196759288	4	-1.2537
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	196761820	210071062	8875	0.0657
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	210081613	210086552	4	0.893
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	210093494	227425301	11678	0.0579
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	227426072	227426406	3	-1.0054
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	227429178	229811169	1380	0.0632
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	229816856	229820196	3	-2.3549
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	229820456	240391740	8119	0.0577
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	240394015	240394124	5	-1.748
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	240394139	248737447	5748	0.0526
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	248749194	248809109	37	-0.5291
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	1	248809369	249224388	141	0.0296
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	12784	1231315	823	0.045
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	1231592	1238659	4	-1.7338
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	1244964	3728561	1745	0.0317
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	3732546	3736538	5	-0.8099
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	3742071	4216410	417	0.0625
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	4216420	4223833	38	0.3233
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	4224019	4973779	656	0.0466
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	4974948	4975953	3	-0.8149
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	4976727	10701629	4428	0.0784
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	10702520	10704855	3	-0.9776
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	10712996	34685280	15986	0.0816
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	34691069	34740799	53	0.6353
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	34741027	35975973	871	0.0701
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	35977790	35987916	6	-1.774
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	35987947	40332851	3171	0.0863
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	40335410	40335876	3	-1.1063
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	40336640	49533042	6702	0.0937
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	49535768	49545041	6	-0.7165
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	49545818	52754468	2279	0.0618
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	52754480	52781522	38	0.7094
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	52781542	86937687	21938	0.0817
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	86953070	86971745	4	-0.8659
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	86972846	110462496	9846	0.0816
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	110467473	110477250	2	1.428
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	110501512	146862085	21823	0.0703
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	146864404	146866934	24	-1.4078
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	146877806	180061655	20289	0.095
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	180067192	180079144	3	-2.2787
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	180083591	215266519	21078	0.0876
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	215275609	215277796	4	-1.1074
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	215283806	229409208	9332	0.0884
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	229413217	229424096	9	-0.5599
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	2	229424658	243089456	8432	0.0813
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	60345	224602	157	-0.2608
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	230022	232800	4	-3.1351
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	234877	68746164	47685	-0.2276
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	68746259	68747413	14	-1.0021
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	68748758	69173184	336	-0.2147
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	69181183	69181552	2	-1.9239
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	69183769	84698990	9596	-0.2331
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	84699184	84711725	24	0.1477
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	84717923	98934604	5981	-0.218
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	98936627	98949421	41	0.1083
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	98950964	102938744	2213	-0.2016
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	102938817	102951162	24	0.3513
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	102962981	129762859	16507	-0.2076
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	129763698	129806236	52	0.3401
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	129806924	162208419	20084	-0.2087
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	162216629	162223833	25	-0.927
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	162223934	162513092	182	-0.2395
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	162513149	162615915	61	-1.2431
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	162623842	192607750	19004	-0.2066
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	192607973	192608551	6	0.8994
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	192608598	192880473	199	-0.2053
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	192880587	192882903	12	-1.0931
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	3	192886435	197896118	2706	-0.2237
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	12281	65978	57	-0.201
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	66719	9461230	5195	0.0261
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	9464537	9479206	7	1.1781
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	9479345	10210390	546	0.0478
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	10214160	10234608	32	0.4183
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	10235007	11409302	1021	0.062
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	11416525	12172065	645	0.4695
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	12172310	34786500	15331	0.0312
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	34786955	34824183	36	0.5347
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	34824725	38087105	2304	0.0475
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	38087163	38394714	243	0.4044
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	38394742	58249858	10178	0.0431
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	58256375	58258354	6	-1.049
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	58263251	69536788	6831	0.0253
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	69537152	69551744	3	-1.2834
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	69558271	69639162	29	-0.0922
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	69640234	77793212	4970	0.0649
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	77793240	77793778	6	-0.6396
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	77793829	115173700	22728	0.0553
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	115175323	115184252	25	0.903
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	115184266	138092239	13249	0.0368
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	138092420	138093414	14	-0.6425
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	138094958	180292110	26416	0.0487
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	180292791	180327607	21	-0.7663
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	180330493	189221258	6383	0.0396
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	189221360	189221439	4	1.0531
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	189222813	189436915	209	0.0498
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	189437086	189437295	6	-0.9547
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	4	189437396	191027923	961	0.0093
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	15532	12800889	10216	0.0258
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	12815780	12820076	9	0.7688
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	12824411	17637861	3205	0.0584
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	17640214	17642551	4	-0.9575
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	17655138	21376844	2288	0.0329
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	21377839	21377853	2	-2.0953
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	21386066	21449276	45	0.0019
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	21451200	21452438	5	-1.802
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	21452496	21549830	28	-0.224
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	21550394	46246660	14991	0.0331
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	46251306	46271930	4	-0.6249
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	46272521	46273502	5	-1.9715
HELVE_p_TCGA_b139_154_155_SNP_N_GenomeWideSNP_6_B12_808620	5	46278212	54939071	3416	0.053
