Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	61735	16149915	8404	-0.2051
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	16153497	16153925	6	-1.8813
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	16154201	16155010	4	-0.3806
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	16165661	16171036	6	0.3692
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	16176764	16344664	76	-0.1798
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	16344827	16390402	11	-0.7076
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	16398077	16797756	188	-0.1996
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	16803776	16869363	20	0.3731
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	16886135	17190004	103	-0.3735
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	17190862	17276241	63	0.483
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	17277940	21704437	2990	-0.1832
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	21705311	21751244	29	0.2898
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	21759795	21760125	2	-1.9085
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	21769887	25583341	2245	-0.16
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	25593128	25673154	34	1.0768
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	25678084	30732380	2393	-0.215
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	30734036	30745210	13	-1.2272
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	30747576	35091674	2557	-0.2127
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	35102654	35114268	21	0.6057
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	35115542	39975142	2648	-0.2239
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	39982457	39983501	2	1.4361
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	39989251	62114006	13821	-0.1653
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	62114181	62118187	3	-1.5447
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	62119809	66747356	3425	-0.166
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	66747613	66750764	3	-2.0326
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	66757027	69051134	1692	-0.148
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	69054410	69054605	3	-1.5532
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	69055154	104163787	22399	-0.1872
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	104178038	104268222	25	-1.1094
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	104303403	110227515	3607	-0.1648
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	110232974	110240178	17	-1.6906
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	110242953	161353363	15473	-0.1609
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	161355007	161355069	2	-2.4957
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	161355634	161508875	60	-0.2379
SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_D03_569128	1	161517939	161638513	48	0.5221
