Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	61735	62920	5	0.3871
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	62937	85936	7	-0.2783
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	85998	86341	3	0.2534
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	98588	356443	13	-0.6108
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	356542	1836927	304	0.0952
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	1846614	17195155	8481	-0.6384
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	17203497	17259063	49	-1.0775
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	17259320	22619342	3556	-0.6139
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	22622289	22629112	11	-1.4976
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	22629188	25595947	1707	-0.6129
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	25596405	25661501	26	0.1503
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	25662005	32054094	3245	-0.6322
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	32062066	43208561	6267	0.1083
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	43209539	43209566	2	-1.9214
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	43211594	57651938	8584	0.1082
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	57651952	57654660	5	-0.8472
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	57658036	62114006	3369	0.0996
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	62114181	62118187	3	-1.1716
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	62119809	72756142	7376	0.0806
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	72756174	72808768	48	0.4713
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	72809372	76050844	1940	0.0465
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	76054763	76054854	2	1.3089
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	76059509	92232153	10869	0.0613
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	92233820	92234553	2	-1.6532
VENUE_p_TCGAb28_SNP_N_GenomeWideSNP_6_G03_568844	1	92241731	95219034	1797	0.0858
